0.0073	 -4.97801, 0, 0	 5.00172, 0, 0
0.0074	 -4.97824, 0, 0	 5.00195, 0, 0
0.0075	 -4.97846, 0, 0	 5.00218, 0, 0
0.0076	 -4.97868, 0, 0	 5.0024, 0, 0
0.0077	 -4.97888, 0, 0	 5.00261, 0, 0
0.0078	 -4.97908, 0, 0	 5.00281, 0, 0
0.0079	 -4.97928, 0, 0	 5.00301, 0, 0
0.008	 -4.97947, 0, 0	 5.0032, 0, 0
0.0081	 -4.97965, 0, 0	 5.00338, 0, 0
0.0082	 -4.97982, 0, 0	 5.00356, 0, 0
0.0083	 -4.97999, 0, 0	 5.00374, 0, 0
0.0084	 -4.98016, 0, 0	 5.0039, 0, 0
0.0085	 -4.98032, 0, 0	 5.00407, 0, 0
0.0086	 -4.98048, 0, 0	 5.00422, 0, 0
0.0087	 -4.98063, 0, 0	 5.00438, 0, 0
0.0088	 -4.98077, 0, 0	 5.00453, 0, 0
0.0089	 -4.98091, 0, 0	 5.00467, 0, 0
0.009	 -4.98105, 0, 0	 5.00481, 0, 0
0.0091	 -4.98119, 0, 0	 5.00495, 0, 0
0.0092	 -4.98132, 0, 0	 5.00508, 0, 0
0.0093	 -4.98144, 0, 0	 5.00521, 0, 0
0.0094	 -4.98157, 0, 0	 5.00533, 0, 0
0.0095	 -4.98169, 0, 0	 5.00545, 0, 0
0.0096	 -4.9818, 0, 0	 5.00557, 0, 0
0.0097	 -4.98192, 0, 0	 5.00569, 0, 0
0.0098	 -4.98203, 0, 0	 5.0058, 0, 0
0.0099	 -4.98213, 0, 0	 5.00591, 0, 0
0.01	 -4.98224, 0, 0	 5.00601, 0, 0
