time(minutes) centre_concentration(uM) average_concentration(uM) average_concentration_only_cells(uM) minimum_concentration(uM)
  4.30000000e-01   6.50239086e+00   8.25239934e+00   7.75571133e+00   6.50239086e+00 
  4.40000000e-01   6.43908252e+00   8.23089454e+00   7.72809461e+00   6.43908252e+00 
  4.50000000e-01   6.37657260e+00   8.20988314e+00   7.70111154e+00   6.37657260e+00 
  4.60000000e-01   6.31486769e+00   8.18935220e+00   7.67474547e+00   6.31486769e+00 
  4.70000000e-01   6.25395779e+00   8.16928865e+00   7.64897963e+00   6.25395779e+00 
  4.80000000e-01   6.19384602e+00   8.14968045e+00   7.62379856e+00   6.19384602e+00 
  4.90000000e-01   6.13453197e+00   8.13051574e+00   7.59918702e+00   6.13453197e+00 
  5.00000000e-01   6.07600573e+00   8.11178321e+00   7.57513048e+00   6.07600573e+00 
  5.10000000e-01   6.01827674e+00   8.09347145e+00   7.55161432e+00   6.01827674e+00 
  5.20000000e-01   5.96133813e+00   8.07556994e+00   7.52862499e+00   5.96133813e+00 
  5.30000000e-01   5.90518666e+00   8.05806825e+00   7.50614913e+00   5.90518666e+00 
  5.40000000e-01   5.84982990e+00   8.04095649e+00   7.48417400e+00   5.84982990e+00 
  5.50000000e-01   5.79525081e+00   8.02422462e+00   7.46268674e+00   5.79525081e+00 
  5.60000000e-01   5.74145181e+00   8.00786335e+00   7.44167542e+00   5.74145181e+00 
  5.70000000e-01   5.68842946e+00   7.99186351e+00   7.42112825e+00   5.68842946e+00 
  5.80000000e-01   5.63618018e+00   7.97621623e+00   7.40103383e+00   5.63618018e+00 
  5.90000000e-01   5.58470044e+00   7.96091288e+00   7.38138109e+00   5.58470044e+00 
  6.00000000e-01   5.53398714e+00   7.94594508e+00   7.36215927e+00   5.53398714e+00 
  6.10000000e-01   5.48402267e+00   7.93130483e+00   7.34335809e+00   5.48402267e+00 
  6.20000000e-01   5.43481964e+00   7.91698401e+00   7.32496714e+00   5.43481964e+00 
  6.30000000e-01   5.38636600e+00   7.90297511e+00   7.30697675e+00   5.38636600e+00 
  6.40000000e-01   5.33865606e+00   7.88927067e+00   7.28937735e+00   5.33865606e+00 
  6.50000000e-01   5.29168354e+00   7.87586345e+00   7.27215965e+00   5.29168354e+00 
  6.60000000e-01   5.24544140e+00   7.86274641e+00   7.25531459e+00   5.24544140e+00 
  6.70000000e-01   5.19993995e+00   7.84991284e+00   7.23883357e+00   5.19993995e+00 
  6.80000000e-01   5.15514948e+00   7.83735589e+00   7.22270779e+00   5.15514948e+00 
  6.90000000e-01   5.11107245e+00   7.82506920e+00   7.20692909e+00   5.11107245e+00 
  7.00000000e-01   5.06770130e+00   7.81304647e+00   7.19148936e+00   5.06770130e+00 
  7.10000000e-01   5.02504112e+00   7.80128167e+00   7.17638087e+00   5.02504112e+00 
  7.20000000e-01   4.98306840e+00   7.78976867e+00   7.16159575e+00   4.98306840e+00 
  7.30000000e-01   4.94178244e+00   7.77850178e+00   7.14712668e+00   4.94178244e+00 
  7.40000000e-01   4.90117552e+00   7.76747534e+00   7.13296640e+00   4.90117552e+00 
  7.50000000e-01   4.86123928e+00   7.75668384e+00   7.11910784e+00   4.86123928e+00 
  7.60000000e-01   4.82198012e+00   7.74612202e+00   7.10554422e+00   4.82198012e+00 
  7.70000000e-01   4.78337096e+00   7.73578451e+00   7.09226868e+00   4.78337096e+00 
  7.80000000e-01   4.74541160e+00   7.72566632e+00   7.07927477e+00   4.74541160e+00 
  7.90000000e-01   4.70809354e+00   7.71576247e+00   7.06655615e+00   4.70809354e+00 
  8.00000000e-01   4.67140795e+00   7.70606814e+00   7.05410657e+00   4.67140795e+00 
  8.10000000e-01   4.63536701e+00   7.69657872e+00   7.04192015e+00   4.63536701e+00 
  8.20000000e-01   4.59993332e+00   7.68728948e+00   7.02999081e+00   4.59993332e+00 
  8.30000000e-01   4.56511017e+00   7.67819603e+00   7.01831289e+00   4.56511017e+00 
  8.40000000e-01   4.53088852e+00   7.66929398e+00   7.00688078e+00   4.53088852e+00 
  8.50000000e-01   4.49727765e+00   7.66057917e+00   6.99568912e+00   4.49727765e+00 
  8.60000000e-01   4.46424454e+00   7.65204732e+00   6.98473243e+00   4.46424454e+00 
  8.70000000e-01   4.43179064e+00   7.64369447e+00   6.97400559e+00   4.43179064e+00 
