time_min,center_concentration_uM,average_concentration_uM
3.300000000000000266e+00,2.781792016156867220e+00,6.861337508497542537e+00
3.400000000000000355e+00,2.779475700672771499e+00,6.860739788231722258e+00
3.500000000000000000e+00,2.777584533488734131e+00,6.860251792717207309e+00
3.600000000000000089e+00,2.776040489912228626e+00,6.859853378763499876e+00
3.700000000000000178e+00,2.774779861129126779e+00,6.859528101352063700e+00
3.800000000000000266e+00,2.773750628865134349e+00,6.859262534559950275e+00
3.900000000000000355e+00,2.772910320997183042e+00,6.859045717221807337e+00
4.000000000000000000e+00,2.772224260197421408e+00,6.858868700401012042e+00
4.100000000000000533e+00,2.771664133691313037e+00,6.858724177961587287e+00
4.200000000000000178e+00,2.771206825326295586e+00,6.858606184974270548e+00
4.299999999999999822e+00,2.770833461888025262e+00,6.858509851497188947e+00
4.400000000000000355e+00,2.770528634390419409e+00,6.858431201561544732e+00
4.500000000000000000e+00,2.770279762254311162e+00,6.858366989061337016e+00
4.600000000000000533e+00,2.770076574166400629e+00,6.858314563771013006e+00
4.700000000000000178e+00,2.769910684213110930e+00,6.858271761959473523e+00
4.800000000000000711e+00,2.769775245808302255e+00,6.858236817084681469e+00
4.900000000000000355e+00,2.769664669139589641e+00,6.858208286882358173e+00
5.000000000000000000e+00,2.769574390476646553e+00,6.858184993839123500e+00
5.100000000000000533e+00,2.769500683823296505e+00,6.858165976592963453e+00
5.200000000000000178e+00,2.769440507141799124e+00,6.858150450255038777e+00
5.300000000000000711e+00,2.769391376803796323e+00,6.858137774015175658e+00
5.400000000000000355e+00,2.769351265086949176e+00,6.858127424693907237e+00
5.500000000000000000e+00,2.769318516487171422e+00,6.858118975149477770e+00
5.600000000000000533e+00,2.769291779392747177e+00,6.858112076648620103e+00
5.700000000000000178e+00,2.769269950300520478e+00,6.858106444473445862e+00
5.800000000000000711e+00,2.769252128271956881e+00,6.858101846170419513e+00
5.900000000000000355e+00,2.769237577749402046e+00,6.858098091956442488e+00
6.000000000000000000e+00,2.769225698197978591e+00,6.858095026886008583e+00
6.100000000000000533e+00,2.769215999320111976e+00,6.858092524456248285e+00
6.200000000000000178e+00,2.769208080819819173e+00,6.858090481385839432e+00
6.300000000000000711e+00,2.769201615881556222e+00,6.858088813352325452e+00
6.400000000000000355e+00,2.769196337681753661e+00,6.858087451511932997e+00
6.500000000000000000e+00,2.769192028376398884e+00,6.858086339658224340e+00
6.600000000000000533e+00,2.769188510110075718e+00,6.858085431902305018e+00
6.700000000000000178e+00,2.769185637675452227e+00,6.858084690778899706e+00
6.800000000000000711e+00,2.769183292520226658e+00,6.858084085700054899e+00
6.900000000000000355e+00,2.769181377854184944e+00,6.858083591692708758e+00
7.000000000000000000e+00,2.769179814654437966e+00,6.858083188367981364e+00
7.100000000000000533e+00,2.769178538403963774e+00,6.858082859079690508e+00
7.200000000000000178e+00,2.769177496428824270e+00,6.858082590237312814e+00
7.300000000000000711e+00,2.769176645724192198e+00,6.858082370745074208e+00
7.400000000000000355e+00,2.769175951179434936e+00,6.858082191544000672e+00
7.500000000000000000e+00,2.769175384129013207e+00,6.858082045238030666e+00
7.600000000000000533e+00,2.769174921169387016e+00,6.858081925788763300e+00
7.700000000000000178e+00,2.769174543193096749e+00,6.858081828266241686e+00
7.800000000000000711e+00,2.769174234600148665e+00,6.858081748645473041e+00
7.900000000000000355e+00,2.769173982654165922e+00,6.858081683640316228e+00
8.000000000000000000e+00,2.769173776956729061e+00,6.858081630567852471e+00
8.099999999999999645e+00,2.769173609018210414e+00,6.858081587237652599e+00
8.200000000000001066e+00,2.769173471907380613e+00,6.858081551861376468e+00
8.300000000000000711e+00,2.769173359965344972e+00,6.858081522978956457e+00
8.400000000000000355e+00,2.769173268571984980e+00,6.858081499398348768e+00
8.500000000000000000e+00,2.769173193955278389e+00,6.858081480146322129e+00
8.599999999999999645e+00,2.769173133035613077e+00,6.858081464428300578e+00
8.700000000000001066e+00,2.769173083298685167e+00,6.858081451595562150e+00
8.800000000000000711e+00,2.769173042691731368e+00,6.858081441118470067e+00
8.900000000000000355e+00,2.769173009538808294e+00,6.858081432564609337e+00
9.000000000000000000e+00,2.769172982471610922e+00,6.858081425580940582e+00
9.099999999999999645e+00,2.769172960373011971e+00,6.858081419879230367e+00
9.200000000000001066e+00,2.769172942330950793e+00,6.858081415224157595e+00
9.300000000000000711e+00,2.769172927600787926e+00,6.858081411423593288e+00
9.400000000000000355e+00,2.769172915574569238e+00,6.858081408320682471e+00
9.500000000000000000e+00,2.769172905755949099e+00,6.858081405787356921e+00
9.600000000000001421e+00,2.769172897739686334e+00,6.858081403719062941e+00
9.700000000000001066e+00,2.769172891194933595e+00,6.858081402030436813e+00
9.800000000000000711e+00,2.769172885851569177e+00,6.858081400651783177e+00
9.900000000000000355e+00,2.769172881489060600e+00,6.858081399526201771e+00
1.000000000000000000e+01,2.769172877927357224e+00,6.858081398607238199e+00
