0: 217,80,311,120
364: 111,184,203,208,264,91
365: 42,185,287
366: 179,169,323,328
367: 198,49
368: 194,251,281,67
369: 90,178,335,361
370: 67,194
371: 192,315
372: 317,342,262,32,210,81
373: 191,92,206
374: 50,263,303
375: 196,71,380
376: 197,341,63
377: 123,47
378: 30,154,200,275,279
379: 84,396,56,177
380: 196,375,333,146,201,339
381: 205,173,330,102,27,162
382: 193,241
383: 188,41
384: 84,198,242,307,326
385: 172,1,258
386: 38,325,202,45,189
387: 63,73,187,350
388: 184,264,91,153
389: 82,78
390: 118,139,158,337,351
391: 13,46,195,341,354
392: 331,219,155,6
393: 15,20
394: 199,134
395: 9,197
396: 46,182,195,354,379,56
397: 51,400
398: 90,99,171
399: 255,199,76
400: 143,200,51,397
