557: 1006,399,231,981,724,291
558: 171,239,719,12,797,315
559: 954,879,267,820,328,74
560: 645,429,999,582,101,138
561: 340,678,530,159,647,400
562: 673,950,374,401,190,268
563: 154,13,375,104,634
564: 131,102,873,950,268,216
565: 641,100,402,139,776,869
566: 100,269,402,568,211,196
567: 476,184,738,175,14,804
568: 898,269,566,441,196,243
569: 149,537,659,3,140,817
570: 649,284,577,403,410,800,76
571: 774,492,221,312,15,364
572: 415,290,106,600,404,890
573: 46,968,694,424,16,799
574: 609,742,141,624,322,532
575: 980,270,615,933,68,124
576: 210,871,101,405,582,934
577: 20,649,142,570,284,325
578: 810,514,17
579: 400,406,466,41,1007,678
580: 394,23,743,860,544,325
581: 482,160,407,61,751,811
582: 143,934,101,576,429,560
583: 18,880,509,551,397,834
584: 316,408,469,646,353,34
585: 330,197,272,885,198,748
586: 409,932,605,147,102,216
587: 19,324,21,594,897,299
588: 553,42,285,902,956
589: 263,867,728,144
590: 20,202,85,266,326,990
591: 414,597,411,131,525,996
592: 528,955,110,699,273
593: 412,824,234,335
594: 365,21,885,324,517,587
595: 459,413,475,151,732,779
596: 273,145,899,188,110
597: 162,414,293,411,671,591
598: 282,641,22
599: 365,723,198,978,274,844
600: 355,415,290,339,917,572,676
601: 331,893,146,214,808,947
602: 23,914,544,858,939,205
603: 416,714,924,388,228,452
604: 802,69,692,275,861
605: 467,932,586,344,147,155
606: 382,1017,855,884,417,95
607: 927,208,986,369,127,941
608: 856,983,6,532,276,609
609: 742,574,148,983,608,532
610: 332,497,928,25,890,841,329
611: 376,44,1001,418,1021,93
612: 323,843,26,246,212,710
613: 150,236,419,716,773,828,991
614: 149,352,659,434,954,267
615: 575,420,691,270,68,379
616: 238,526,722,388,974,277
617: 150,53,959,716,7,1002,436
618: 993,868,237,320,972
619: 27,948,854,961,356,350
620: 278,951,657,703,49,433
621: 459,967,151,359,175,923
622: 28,511,635,985,233,426
623: 422,1001,389,41,850,93
624: 322,837,193,29,574,532
625: 152,346,395,527,975,547
626: 966,30
627: 279,529,262,257,132,130
628: 682,423,164,399,899,829
629: 798,531,194,153,867,540
630: 984,31,124,96,847,498
631: 118,296,484,803,918,424
632: 403,280,895,800,200,465
633: 425,342,891,199,892,107
634: 563,154
635: 172,622,28,345,725,426
636: 32,974,277,371,865,990
637: 33,281,640,162,411,693
638: 171,427,920,721,739,461
639: 246,155,1008,1014,842,381
640: 40,33,529,281,298,637
641: 282,598,565,100,139
642: 790,72,916,428,735,675
643: 838,385,358,965,156,496
644: 862,875,533,133,327,283
645: 542,429,560,534,390,999
646: 447,378,762,34,584,469
647: 157,159,392,539,561,400
648: 114,165,430,292,683,789
649: 20,202,570,902,577,410
650: 174,48,473,431,916,117
651: 143,35,882,329,788,182
652: 781,909,476,78,549,158
653: 949,1000,87,351,432,836
654: 398,672,42,285,516,541
655: 387,900,440,523,36
656: 666,964,159,223,340,91
657: 944,278,620,176,348,433
658: 286,395,547,786
659: 149,614,569,3,434,522
660: 37,919,146,808,78,313
661: 403,410,482,160,280,956
662: 287,134,65,521,538
663: 448,472,435,1023,771,255
664: 287,38,537,391
665: 1022,762,254,550,161,469
666: 964,157,288,546,159,656
667: 123,1000,241,432,1002,436
668: 286,765,815,363,39,490
669: 437,453,92,718
670: 1013,763,289,56,729,877
671: 162,597,293,168,692,708
672: 398,438,654,894,8,541
673: 374,190,562,795,40,715
674: 439
675: 84,290,106,642,428,735
676: 232,148,163,355,415,600
677: 255,766,470,440,167,1023
678: 561,530,389,400,579,41
679: 10,762,291,550,1006,378
680: 441,301,498,137,556,2
681: 195,398,553,42,555,872,266
682: 447,1006,628,164,378,399
683: 114,910,292,648,204,105
684: 442,807,486
685: 873,43,525,545,744,254
686: 67,384,770,1021,827,688
687: 27,896,109,854,443,396,910
688: 165,292,44,1021,67,686
689: 294,166,697,189,522,179
690: 108,749,894,801,483,8
691: 771,45,420,270,615,472
692: 293,168,671,778,69,604,861
693: 162,708,281,637,70,783
694: 573,46,717,813,918,424
695: 300,167,333,1023,771,45
696: 245,976,406,1007,446,805
697: 689,294,179,554,765,97
698: 47,477,113,907,465,752
699: 955,592,110,34,447,164
700: 977,512,48,481,117,111
701: 962,926,295,73,792,760,222
702: 455,448,169,995,892,107
703: 789,49,479,265,620,433
704: 191,845,436,449,241,53
705: 502,945,205,914,213,913
706: 50,437,1011,807,178
707: 89,1008,973,451,450,710
708: 162,168,671,693,445,70
709: 971,439,77,782,51
710: 451,212,612,246,1008,707
711: 99,438,555,136,520,226
712: 187,52,442
713: 425,420,379,1009,169,107
714: 416,603,235,183,1010,452
715: 40,298,673,795,74,66
716: 969,150,53,236,613,617
717: 813,694,918,456,878,170
718: 669,453,92,848,54,373
719: 558,299,239,888,897,12
720: 274,844,760,222,454,367
721: 768,315,739,405,171,638
722: 726,616,55,238,526,995
723: 599,272,198,274,248,54
724: 456,118,231,423,557,399
725: 47,784,477,426,172,635
726: 95,55,722,455,855,995
727: 457,308,249,763
728: 589,867,194,300,144,333
729: 670,56,877,103,740,413
730: 937,779,754,458,740,58
731: 766,173,1017,470,305
732: 459,413,595,103,341
733: 334,903,898,201,518,301
734: 777,474,112,463,904,57
735: 642,916,773,84,675,174
736: 857,256,474,460,821,1003
737: 966,30,302,461,224,206
738: 781,476,567,359,947,175
739: 768,721,806,638,302,461
740: 730,779,458,56,729,413
741: 1016,462
742: 609,176,574,148,163,141
743: 394,303,580,325,284,76
744: 685,102,873,43,59,409
745: 307,463,207,904,14,923
746: 60,1016,251,791,870,462
747: 304,181,527,938,260
748: 994,373,464,197,272,585
749: 177,690,108,777,57,483
750: 305,173,13
751: 488,931,61,965,581,811
752: 113,465,698,76,800,303
753: 780,335,852
754: 730,937,211,58,876,319
755: 245,466,1007,1020,253,816
756: 809,127,63,941,864
757: 467,116,344,784,477,907
758: 307,14,804,501,961,88
759: 351,951,836,468,430,49
760: 720,178,222,454,962,701
761: 64,911,337
762: 679,665,550,378,646,469
763: 249,1013,670,727,308,877
764: 65,519,521
765: 815,97,39,668,697,179
766: 731,677,470,440,36
767: 262,879,66,535,820,279
768: 309,721,739,871,806,405
769: 912,822,492,960,392,471
770: 67,384,686,548,227,837
771: 45,691,1023,695,472,663
