run_id,output_dir,dx_um,uptake_rate_per_min,dt_diffusion_min,total_volume_um3,mean_origin_relative_error_percent,final_origin_center_uM
dx_10um__uptake_12044__dtdiff_0p01min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_10um__uptake_12044__dtdiff_0p01min__volume_1000um3,10.0,12044,0.01,1000.0,5.159774889635737,4.324048520445847
dx_10um__uptake_12044__dtdiff_0p005min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_10um__uptake_12044__dtdiff_0p005min__volume_523um3,10.0,12044,0.005,523.0,5.742399928977411,3.6866841324247748
dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_10um__uptake_12044__dtdiff_0p005min__volume_1000um3,10.0,12044,0.005,1000.0,5.757121593841034,3.670736425993109
dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,5.767138312001525,3.577461103121155
dx_40um__uptake_12044__dtdiff_0p1min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_40um__uptake_12044__dtdiff_0p1min__volume_1000um3,40.0,12044,0.1,1000.0,5.7681942478513735,3.5763311653453043
dx_40um__uptake_12044__dtdiff_0p01min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_40um__uptake_12044__dtdiff_0p01min__volume_523um3,40.0,12044,0.01,523.0,6.0004927047729755,3.287839612280771
dx_40um__uptake_12044__dtdiff_0p005min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_40um__uptake_12044__dtdiff_0p005min__volume_523um3,40.0,12044,0.005,523.0,6.0034828792232355,3.282250940502732
dx_40um__uptake_12044__dtdiff_0p01min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_40um__uptake_12044__dtdiff_0p01min__volume_1000um3,40.0,12044,0.01,1000.0,6.021668775612828,3.264598410513976
dx_40um__uptake_12044__dtdiff_0p005min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_40um__uptake_12044__dtdiff_0p005min__volume_1000um3,40.0,12044,0.005,1000.0,6.031778976143956,3.2511799877258225
dx_20um__uptake_12044__dtdiff_0p1min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_20um__uptake_12044__dtdiff_0p1min__volume_523um3,20.0,12044,0.1,523.0,6.225955513730815,3.1852354168777754
dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_20um__uptake_12044__dtdiff_0p1min__volume_1000um3,20.0,12044,0.1,1000.0,6.241273543144508,3.1688274159840226
dx_20um__uptake_12044__dtdiff_0p01min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_20um__uptake_12044__dtdiff_0p01min__volume_523um3,20.0,12044,0.01,523.0,7.051855531312502,2.201456127806969
dx_20um__uptake_12044__dtdiff_0p01min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_20um__uptake_12044__dtdiff_0p01min__volume_1000um3,20.0,12044,0.01,1000.0,7.0729664455031465,2.1776265830750248
dx_20um__uptake_12044__dtdiff_0p005min__volume_523um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_20um__uptake_12044__dtdiff_0p005min__volume_523um3,20.0,12044,0.005,523.0,7.1194563054294395,2.119948475468383
dx_20um__uptake_12044__dtdiff_0p005min__volume_1000um3,/home/tntiniak/Work/observatory_benchmark/PhysiCell/results/diffusion_uptake_fixed_positions/dx_20um__uptake_12044__dtdiff_0p005min__volume_1000um3,20.0,12044,0.005,1000.0,7.1406299751063,2.0958586593925657
