441: 27,163,785,878,430,585
442: 991,389,118,834,790,614
443: 992,495,477,912,190,721,793
444: 567,734,808,971,720,12,993
445: 235,474,129,258,517,816,338
446: 406,626,851,465,995,22,818
447: 236,141,555,576,677,820,894,275
448: 464,886,697,822,180
449: 347,841,530,562,826,901,91
450: 294,485,179,935,178,695,831
451: 487,776,836,42,977
452: 122,726,757,839,233,439,999
453: 931,999,852,311,122,726,636
454: 102,623,696
455: 324,478,574,862,858
456: 259,472,861,910
457: 160,416,44,698,869,936,340
458: 185,187,724,872,913,925
459: 921,874,124,351,154,595
460: 241,916,779,801,876,511,1018
461: 45,706,133,421,529,880
462: 170,414,657,933,882,983,317,246
463: 413,860,419,884,710,654,669
464: 448,886,745,13,180,571
465: 888,673,226,446,851,818,120
466: 249,650,892,1007
467: 897,227,410,759,853,639,641
468: 182,469,93,354,47,900
469: 209,182,906,468,202,47
470: 1009,48,909,127,804,930,184
471: 504,127,593,1010,1009,722,911
472: 456,259,183,519,917
473: 243,404,921,546,644,874
474: 445,235,258,872,925,816,240
475: 216,930,184,440,307,683,782
476: 1001,186,123,415,662,244,946,932
477: 50,964,881,912,934,495,443,733
478: 324,455,753,913,858,939
479: 52,84,764,958,245,643,941
480: 651,944
481: 144,711,946,932,622,666,730
482: 37,795,951,267,787,658,933
483: 511,955,1011,1019,1018,105,961
484: 369,914,863,379,941,125,958
485: 450,50,294,964,881,935,831
486: 49,703,724,183,917,714,974
487: 451,204,776,224,847,742,977
488: 979,363,750,829,215,806
489: 981,54,660,803,810,175,744
490: 319,64,657,983,98,189
491: 56,583,752,215,819,363,887,915
492: 345,212,586,295,986,937,278
493: 176,430,234,878,2,988,272
494: 990,745,321,13
495: 992,443,686,733,477,912,190,721
496: 436,40,754,770,161,682,994
497: 155,723,996,355,551,877
498: 61,223,998,873,233,58,839
499: 1000,725,832,844,377,947
500: 1002,150,337,583,799,95
501: 1004,601,59,181,897,759
502: 251,520,633,952,699,1006
503: 230,260,864,527,767,681,1008
504: 211,471,127,823,954,1010,1009
505: 191,1012,598,723,765,996,330
506: 75,649,817,290,633,253,83,51,1013
507: 348,213,62,1014,769,141,894
508: 980,166,1015,265,740
509: 63,773,239,861,910
510: 126,32,1007,1017
511: 483,1011,1018,460,241,128
512: 8,256,1011,1019,100,128,397
513: 193,17,257,592,727,280,584
514: 338,54,296,139,65,129
515: 385,103,565,590,89,956,890
516: 266,18,638,589,237,130,919
517: 445,49,129,258,703,65,786
