379: 245,333,479,484,28,369
380: 160,437,318,416,73,284
381: 29,176,256,215,430,212
382: 288,217,7,154,353
383: 193,199,361,40,161,257
384: 30,286,75,174,502
385: 89,279,308,103,11,5
386: 290,31,502,409,251,205
387: 90,300,162,210,104,388
388: 104,101,378,300,79,387
389: 442,214,220,118,360,405
390: 94,27,73,163,284,357
391: 483,8,295,358,156
392: 203,306,356,253,221,31
393: 106,231,461,421,172,26
394: 255,32,4,119,220
395: 164,449,91,334,366,96
396: 250,24,500,101,79,222
397: 256,441,430,107,100
398: 166,165,266,402
399: 471,223,58,111,114
400: 238,291,374,33,438,135
401: 224,245,293,53,88
402: 196,398,287,74
403: 138,359,250,225,95,68
404: 99,167,473,43
405: 442,119,220,389,444
406: 22,446,226,352,48,470
407: 425,168
408: 152,34,278,155,71,140
409: 311,453,251,205,386
410: 467,227,59,301,202,113
411: 87,209,244,35,144,182
412: 51,169,480
413: 448,419,180,228,463
414: 246,170,462,427,482,37
415: 455,229,123,476,244,93
416: 160,171,12,318,457,380
417: 230,420,260,226,465
418: 55,188,110,269,68,302
419: 121,413,421,172,463
420: 471,48,111,260,226,417
421: 173,419,461,393,172
422: 208,329,265,112,298,201
423: 236,106,21,231,275,434
424: 273,113,47,202
425: 407,36
426: 292,76,286,174
427: 105,358,170,414,37
428: 175,444,12,119,4,139
429: 122,311,452,58,23,114
430: 234,176,441,493,381,397
431: 38,341,207,323
432: 336,40,361,157,436,218
433: 232,117,39,16,211,342
434: 371,21,231,147,177,423
435: 5,207,115,274,323,198
436: 57,372,218,40,496,432
437: 318,380,178,108,284
438: 116,282,33,362,400,135
439: 122,159,374,452,233,9
440: 475,117,81,307,184
441: 234,397,430,107,27,163
442: 118,389,108,405,179
443: 107,94,495,163,41,190
444: 428,12,318,119,108,405
445: 338,474,129,258,90,235
446: 192,120,22,226,406,465
447: 141,304,368,97,236,275
448: 413,464,180
449: 395,91,261,347,237,96
450: 46,77,179,178,485,247
451: 204,309,339,42,487
452: 122,429,439,498,233,58
453: 122,238,311,374,409
454: 288,243,43
455: 14,229,324,478,415,123
456: 509,239,259,472,183
457: 160,171,340,416,44,375
458: 187,49,185,474,478,240
459: 7,153,154,351,473,124
460: 70,241,370,98,511,64
461: 45,133,173,421,393
462: 490,246,170,414,317,319
463: 46,228,77,172,413,419
464: 321,13,180,448
465: 120,446,226,242,230,417
466: 249,126
467: 410,501,181,227,30,59
468: 25,47,354,469,93,182
469: 47,468,202,182,209,301
470: 184,48,127,475,352,406
471: 504,223,48,127,399,420
472: 486,183,456
473: 167,404,124,243,7,459
474: 445,258,49,458,235,240
475: 440,307,184,470,216,352
476: 481,144,186,415,123,244
477: 94,495,357,485,50,247
478: 455,324,240,123,458,185
479: 52,245,293,379,200,484
480: 270,51,412
481: 144,300,186,162,316,476
482: 149,206,335,37,246,414
483: 128,512,105,511,8,391
484: 52,379,479,369,125
485: 450,294,50,247,477
486: 187,472
487: 53,224,204,451
488: 55,188,212,345,363,215
489: 338,54,210,175,171,340
490: 170,189,319,462,98,64
491: 359,95,56,150,363
492: 212,345,295,29,248,278
493: 234,56,176,430,2,272
494: 321,13,249,360
495: 94,477,443,177,50,190
496: 10,40,161,164,57,436
497: 191,281,505,155,355,140
498: 252,61,233,452,223,58
499: 80,192,219,325,377
500: 150,101,337,250,95,396
501: 467,181,135,109,59,282
502: 75,290,386,251,384
503: 60,230,203,260,306
504: 211,471,342,223,127,252
505: 191,72,61,281,330,497
506: 51,169,253,75,290,83
507: 141,62,213,236,21,348
508: 166,196,254,305,265,112
509: 456,63,239
510: 63,255,297,126
511: 128,105,64,483,241,460
512: 128,100,483,8,256
