snap,conc_single
259,8.031021119762595
260,8.04551881728206
261,8.059868892711467
262,8.074072819057996
263,8.088132055757034
264,8.102048048754336
265,8.115822230589437
266,8.129456020480232
267,8.14295082440869
268,8.156308035207521
269,8.169529032647835
270,8.182615183527565
271,8.195567841760791
272,8.208388348467638
273,8.221078032064911
274,8.233638208357274
275,8.246070180628935
276,8.258375239735793
277,8.270554664198
278,8.282609720292838
279,8.294541662147935
280,8.30635173183466
281,8.318041159461792
282,8.329611163269275
283,8.341062949722138
284,8.35239771360444
285,8.363616638113283
286,8.37472089495279
287,8.38571164442805
288,8.396590035538996
289,8.40735720607418
290,8.418014282704359
291,8.428562381076013
292,8.439002605904545
293,8.44933605106738
294,8.459563799696713
295,8.469686924272075
296,8.479706486712526
297,8.489623538468615
298,8.499439120613943
299,8.50915426393639
300,8.518769989028991
301,8.52828730638041
302,8.537707216464984
303,8.547030709832404
304,8.556258767196905
305,8.565392359526044
306,8.574432448129008
307,8.58337998474443
308,8.592235911627776
309,8.601001161638152
310,8.609676658324693
311,8.618263316012388
312,8.626762039887405
313,8.635173726081865
314,8.643499261758107
315,8.651739525192383
316,8.659895385858018
317,8.667967704508017
318,8.675957333257095
319,8.683865115663158
320,8.691691886808199
321,8.69943847337862
322,8.707105693745008
323,8.714694358041267
324,8.722205268243242
325,8.729639218246673
326,8.736996993944643
327,8.744279373304375
328,8.751487126443465
329,8.758621015705517
330,8.765681795735173
331,8.772670213552574
332,8.7795870086272
333,8.78643291295111
334,8.793208651111623
335,8.79991494036338
336,8.806552490699797
337,8.813122004923956
338,8.819624178718877
339,8.826059700717217
340,8.832429252570373
341,8.838733509016986
342,8.844973137950866
343,8.851148800488337
344,8.857261151034995
345,8.863310837351865
346,8.869298500621007
347,8.875224775510537
348,8.88109029023906
349,8.886895666639541
350,8.8926415202226
351,8.898328460239261
352,8.903957089743093
353,8.909528005651838
354,8.91504179880845
355,8.920499054041576
356,8.925900350225527
357,8.931246260339627
358,8.93653735152709
359,8.941774185153292
360,8.946957316863557
361,8.952087296640364
362,8.95716466886005
363,8.96218997234897
364,8.967163740439124
365,8.972086501023279
366,8.976958776609566
367,8.981781084375555
368,8.986553936221823
369,8.99127783882502
370,8.995953293690416
371,9.000580797203964
372,9.005160840683866
373,9.009693910431615
374,9.014180487782584
375,9.018621049156124
376,9.023016066105166
377,9.02736600536534
378,9.031671328903652
379,9.035932493966639
380,9.040149953128125
381,9.04432415433644
382,9.048455540961239
383,9.052544551839835
384,9.056591621323083
385,9.060597179320823
386,9.064561651346871
387,9.068485458563586
388,9.072369017825977
389,9.076212741725401
390,9.080017038632793
391,9.083782312741523
392,9.087508964109796
393,9.09119738870264
394,9.09484797843347
395,9.098461121205279
396,9.102037200951369
397,9.105576597675718
398,9.109079687492928
399,9.112546842667788
400,9.115978431654424
401,9.119374819135084
402,9.12273636605853
403,9.12606342967804
404,9.12935636358902
405,9.13261551776628
406,9.135841238600898
407,9.139033868936743
408,9.142193748106605
409,9.145321211967998
410,9.148416592938572
411,9.151480220031187
412,9.15451241888865
413,9.157513511818053
414,9.160483817824833
415,9.163423652646438
416,9.16633332878567
417,9.169213155543712
418,9.172063439052787
419,9.174884482308528
420,9.177676585201986
421,9.180440044551338
422,9.183175154133265
423,9.18588220471401
424,9.188561484080159
425,9.191213277069037
426,9.193837865598878
427,9.19643552869863
428,9.199006542537505
429,9.201551180454192
430,9.204069712985778
431,9.206562407896419
432,9.209029530205669
433,9.211471342216539
434,9.213888103543296
435,9.216280071138941
436,9.218647499322437
437,9.220990639805642
438,9.223309741719987
439,9.225605051642871
440,9.227876813623785
441,9.230125269210195
442,9.232350657473107
443,9.234553215032463
444,9.236733176082163
445,9.238890772414953
446,9.241026233446961
447,9.243139786242033
448,9.245231655535832
449,9.247302063759639
450,9.249351231063976
451,9.25137937534194
452,9.253386712252317
453,9.25537345524247
454,9.257339815570974
455,9.259286002330034
456,9.261212222467677
457,9.2631186808097
458,9.265005580081423
459,9.26687312092918
460,9.268721501941638
461,9.27055091967086
462,9.272361568653174
463,9.27415364142982
464,9.275927328567391
465,9.277682818678064
466,9.279420298439621
467,9.281139952615277
468,9.282841964073286
469,9.284526513806366
470,9.286193780950917
471,9.287843942806044
472,9.289477174852372
473,9.291093650770701
474,9.292693542460453
475,9.294277020057901
476,9.295844251954271
477,9.297395404813612
478,9.2989306435905
479,9.300450131547557
480,9.301954030272803
481,9.303442499696814
482,9.304915698109715
483,9.306373782177998
484,9.307816906961158
485,9.309245225928171
486,9.310658890973812
487,9.312058052434763
488,9.313442859105626
489,9.314813458254692
490,9.316169995639624
491,9.317512615522931
492,9.318841460687288
493,9.32015667245072
494,9.321458390681618
495,9.322746753813604
496,9.324021898860243
497,9.325283961429589
498,9.326533075738626
499,9.327769374627497
500,9.328992989573656
501,9.330204050705811
502,9.33140268681779
503,9.332589025382187
504,9.333763192563952
505,9.334925313233763
506,9.336075510981335
507,9.337213908128527
508,9.338340625742369
509,9.339455783647905
510,9.340559500440952
511,9.341651893500698
512,9.342733079002171
513,9.343803171928604
514,9.344862286083652
515,9.345910534103487
516,9.346948027468773
517,9.347974876516515
518,9.348991190451795
519,9.34999707735938
520,9.350992644215212
521,9.351977996897773
522,9.352953240199348
523,9.353918477837174
524,9.35487381246445
525,9.355819345681265
526,9.356755178045388
527,9.357681409082966
528,9.358598137299113
529,9.359505460188364
530,9.360403474245052
531,9.361292274973575
532,9.362171956898536
533,9.363042613574802
534,9.36390433759744
535,9.364757220611581
536,9.36560135332215
537,9.366436825503511
538,9.367263726009018
539,9.368082142780457
540,9.36889216285741
541,9.369693872386485
542,9.3704873566305
543,9.371272699977535
544,9.372049985949914
545,9.37281929721308
546,9.373580715584387
547,9.374334322041795
548,9.375080196732492
549,9.375818418981405
550,9.376549067299642
551,9.377272219392836
552,9.377987952169416
553,9.378696341748768
554,9.379397463469346
555,9.380091391896682
556,9.380778200831301
557,9.381457963316592
558,9.38213075164655
559,9.382796637373474
560,9.383455691315591
561,9.384107983564556
562,9.384753583492936
563,9.385392559761561
564,9.386024980326846
565,9.386650912448014
566,9.387270422694234
567,9.387883576951712
568,9.388490440430699
569,9.389091077672422
570,9.389685552555937
571,9.390273928304948
572,9.390856267494506
573,9.391432632057674
574,9.392003083292106
575,9.392567681866584
576,9.393126487827438
577,9.39367956060497
578,9.39422695901974
579,9.394768741288845
580,9.395304965032096
581,9.395835687278149
582,9.396360964470578
583,9.396880852473862
584,9.397395406579339
585,9.397904681511077
586,9.398408731431704
587,9.398907609948163
588,9.399401370117408
589,9.399890064452048
590,9.400373744925949
591,9.400852462979715
592,9.401326269526228
593,9.401795214956003
594,9.402259349142568
595,9.40271872144777
596,9.403173380727027
597,9.403623375334517
598,9.404068753128323
599,9.404509561475521
600,9.40494584725722
601,9.405377656873544
602,9.405805036248573
603,9.406228030835223
604,9.406646685620077
605,9.407061045128167
606,9.407471153427725
607,9.407877054134854
608,9.408278790418175
609,9.408676405003408
610,9.409069940177924
611,9.409459437795244
612,9.409844939279486
613,9.410226485629769
614,9.410604117424572
