269: 318,317,276,504,275,230,270
270: 224,230,277,516,90,504,269,271
271: 18,91,451,503,277,270,629,225,88,459,422,272,499,2
272: 226,88,278,459,273,91,503,271
273: 121,537,91,503,617,278,272
274: 68,415,275,63,89,440,117
275: 63,223,230,274,276,269,117
276: 317,504,269,275,230,517,90,117,324
277: 224,230,270,225,422,96,70,90,271,2
278: 226,227,459,272,279,66,67,93,121,273,91,519,92,495,10
279: 233,512,227,278,67,93
280: 287,433,428,622,512,234,286,93,328,519
281: 235,415,479,440
282: 453,94,288,336,598
283: 292,7,123,332,19,324,2,95,70,90,551,32
284: 362,319,504,118,499,124,324
285: 33,539,119,326,581,32,495,10,97,91
286: 241,234,533,93,98,280,287,428
287: 335,296,280,412,428,295,286,533
288: 22,405,290,431,544,282,598
289: 598
290: 288,22,78,405,544,94,243,3,435,453,99,608
291: 9,12,95,243,0,74,13,515,292,633,19,522,510,101
292: 633,7,123,283,332,446,19,331,493,522,510,95,291,0,101,127
293: 11,104,637,76,97,466,597,5,552,21,514,434
294: 559,349,105,348,295,456,255,535,342,412,511,26
295: 247,533,543,456,287,412,511,294
296: 335,287,412,543,559
297: 350,99,343,304,461,298,405
298: 249,405,257,420,435,297,304,625,608
299: 259,553,79,251,635,631,6,300,628,494,102,505
300: 6,584,571,582,628,641,443,299,438,102,505,634,25,108,109,301
301: 135,28,30,25,110,354,108,109,6,300,641,638,308
302: 29,87,430,592,535,135,26,136,110,309
303: 254,255,262,535,310,105
304: 350,297,298,257,625,106,351,111
305: 403,311,263,307,257,251,635,417,483,625,112,111,611,487
306: 357,358,313,113,611,487,521,160,311,112
307: 403,311,312,529,305,494,313,521,116
308: 266,473,444,6,260,81,638,30,110,301,116,114
309: 310,302,87,315,136,141,110,115
310: 356,309,262,303,136,115
311: 312,307,84,305,357,313,306,611
312: 311,307,529,578,316,313,116
313: 358,306,113,521,606,116,311,312,307,359,632,413
314: 266,454,473,462,316,116,114
315: 469,444,87,110,309,361,600,115,587
316: 314,312,116,632
317: 318,276,468,504,269,562,117,323
318: 362,317,468,504,475,269
319: 362,484,284,268,475,499,18,451,325
320: 321,537,368,478,120,364
321: 121,537,320,424,120,548
322: 89,330,583,562,117,323
323: 31,117,122,324,607,621,562,317,468,118,322,330
324: 31,122,123,283,124,332,323,2,90,276,284,118
325: 451,478,319,481,499,612,485,364
326: 334,33,119,374,333,125,144,285,495,447,120
327: 433,615,424,120,328,334
328: 121,519,280,433,327,615,622
329: 370,377,330,337,583
330: 329,370,322,337,460,583,371,122,145,446,323,621
331: 292,34,7,123,372,620,127
332: 292,31,7,123,283,124,324,486,32
333: 129,33,119,374,326,32,144,367,130,373,486,147,148
334: 374,326,36,125,144,368,120,433,376,327,615,369,375
335: 296,287,342,412,428,622
336: 99,343,598,282,377,337,453,100
337: 329,370,377,330,453,460,145,446,498,336,100
338: 133,127,34,498,620,421,151,378
339: 129,20,33,21,447,514,35,25,340,24,434,527
340: 135,26,389,35,25,434,527,588,602,339,348
341: 36,154,447,342,131,126,389,525,527,383,390,348
342: 335,412,126,341,559,383,294,348
343: 350,99,297,336,384,344,461,640,377,132
344: 350,343,401,384,137,461,385,132,352,391
345: 626,438,353,37,23,133,346,352,477,112,505,423,113,160
346: 626,438,353,37,128,345,386,133,423,34,565,38,40,151,542
347: 565,450,471,38,389,28,35,25,394,602
348: 349,390,294,564,341,342,26,389,136,340,588
349: 559,294,105,348,564
350: 297,343,304,344,137,549,461,106,351
351: 506,111,350,304,137,549,106,138,487,605
352: 626,23,345,133,391,112,106,344,137,461,138,487,160
353: 626,345,386,346,423,139,38,419,489,160,392
354: 28,30,141,110,394,585,602,301,638,140,600
355: 141,585,356,557,574,490
356: 310,564,557,136,141,115,355
357: 306,611,606,605,311
358: 313,396,474,306,113,563,606,160
359: 360,397,589,632,439,413,538,313
360: 359,397,439,507,538
361: 490,600,315,115,587
362: 318,319,484,284,468,366,475
363: 407,484,481,142,485,536,596
364: 485,320,368,478,325
365: 366,607
366: 362,365,468,118,142,418,607,407
367: 119,333,144,612,478,486,485,596,147,148
368: 320,424,478,120,334,144,364,369
369: 148,375,368,334,144
370: 329,377,330,337,371,145,568,579
371: 145,418,607,620,621,370,330,568,579,492,421
372: 31,34,373,142,331,486,620,399,380,492,524
373: 34,7,372,486,129,333,32,40,147,153,616
374: 334,33,326,333,36,154,144,130,447,148,375
375: 381,369,148,334,374,36,154,131,376,149
376: 131,615,334,36,375
377: 329,370,337,145,498,343,336,384,640,132,568,378
378: 155,377,498,384,385,338,150,568,379,421
379: 146,421,150,491,151,378
380: 524,34,372,151,616
381: 148,472,375,530,546,154,149
382: 131,525,383,472,554,149
383: 390,550,341,342,131,525,554,382
384: 343,401,344,640,377,385,132,155,378
385: 626,132,133,391,384,344,155,156,378
386: 626,353,133,346,156,392,134,436,151,542
387: 162,158,157,465,432
388: 157,432,159,525,39,590,530,546
389: 450,525,39,395,340,347,527,602,341,390,348,159
390: 383,348,564,557,341,389,136,395,404
391: 626,385,352,401,344,137,624,160,414
392: 134,626,353,386,474,489,160,161,523
393: 162,465,523
394: 450,139,28,395,419,347,354,585,602,398,158,569
395: 450,389,394,585,404,602,390,557,159
396: 358,474,113,489,397,161,410,413
397: 398,360,359,161,410,413,396
398: 140,397,574,161,394,569
399: 536,492,508,524,142,372,143
401: 384,344,137,640,391,624,414
402: 185,183,211,180,184,217,61
403: 263,220,307,84,452,529,305,494,259,251,417
404: 395,390,557,159
405: 249,288,298,290,99,297,598
406: 170,41,408,164
407: 363,366,142,418,536,508
