633: 122,123,446,19,522,722,330,460
634: 438,37,102,101,128,4,443,300,493,715,24
635: 483,703,680,305,27,23,112,505,625
636: 11,637,66,643,98,667,97,597,679
637: 104,92,636,98,293,97,597,241,286,488
638: 6,29,711,109,694,444,308,30,301,110
639: 449,218,219,86,730,261
640: 343,401,384
641: 6,29,75,300,429,711,109,81,584,560,571,582,628
642: 292,670,373,7,331,338,40,128,34
643: 11,238,48,686,66,636,667,232,570,679
644: 248,255,82,207,239,247,561
645: 519,326,125,495,696,424,120,328,121,327,433
646: 491,156,338,151,380,379,34
647: 163,491,134,436
648: 33,119,374,326,333,32,144,285,495,447,692
649: 222,221
650: 502,177,172,463
651: 9,12,95,291,0,283,19,722
652: 626,23,345,666,133,352,112,160,113,678
653: 169,470,406,426,164,41,437,408
654: 568,384,377,378
655: 188,698,558,191,187,231,660,705
656: 523,474,160,707,392
657: 317,276,284,504,118,713,124,324,719
658: 329,370,322,330,583
659: 254,255,82,449,253,430
660: 186,231,675,705,43,655
661: 169,173,196,178,202,174,455
662: 399,380,492,524,421,34,373,372
663: 448,45,201,572,630,173,195,464,236
664: 6,81,628,299,528,259,265,494,529,473,85,308,116
665: 172,586,198,44,445,192,534
666: 626,688,353,133,346,423,652,701,151,160,542,386
667: 11,238,48,71,643,636,53,293,97,466,597,76
668: 450,395,394,398,158,419,569
669: 313,306,113,307,413,116,477,521,359,589
670: 292,642,446,331,498,127,338,421
671: 218,532,62,593,86
672: 500,463,14,206,496,513,207
673: 216,702,215,441
674: 175,179,203,437,455,180,556,52
675: 186,224,64,567,660,677,705
676: 78,497,691,73,201,242,22
677: 223,224,230,64,567,270,269,675,96
678: 707,138,306,113,487,605,352,112,652
679: 11,686,66,72,643,636,98,67,193
680: 483,417,635,257,263,305,106,625,111,487
681: 78,420,290,435,691,73,22,3,708,526
682: 83,727,256,250,441,417
