320: 321,18,364,368,120,91
321: 121,273,320,327,120
322: 89,330,274,317,117,323
323: 31,117,122,324,371,317,276,118,365,89,322,330
324: 292,31,117,122,123,283,124,323,331,19,90,276,284,118
325: 362,319,284,18,364,142,124,119,367,363
326: 92,334,33,119,374,333,120,21,125,144,285,36
327: 334,120,125,121,321,368,328,376,369
328: 335,280,376,121,327,125
329: 370,282,377,330,337,336
330: 329,89,370,322,122,145,337,323,371
331: 292,31,127,34,32,7,122,123,283,124,332,324,372
332: 2,32,7,123,283,124,331,373,20,119,333,285
333: 33,119,374,326,144,367,285,32,124,332,373,147,148
334: 374,326,327,120,125,375,144,36,368,376,369
335: 280,287,328,286,376,126,125
336: 99,343,289,384,329,282,377,337,132
337: 127,122,145,338,94,329,89,282,377,330,336,100,132
338: 127,34,145,337,377,151,132,133,378,150,146,379
339: 129,20,33,21,4,293,97,5,24,25,340
340: 26,389,39,25,347,348,129,341,33,339,21,154,130,36
341: 154,36,131,126,389,340,348,342,383,390
342: 349,383,294,341,126,348
343: 350,99,297,289,336,384,23,344,132
344: 23,385,132,352,391,350,343,137,384
345: 102,108,353,37,386,346,352,112,160,28,306,113
346: 102,353,37,128,151,345,386,133,40,38,28,35,134
347: 301,135,38,389,28,109,35,39,395,158,25,340,394,354
348: 26,389,136,340,341,126,342,349,390,294
349: 356,342,390,294,310,105,303,136,348
350: 297,343,137,304,106,344,352,351
351: 106,352,350,137,357,111,138,306
352: 106,23,344,345,386,391,351,112,160,350,137,138,306
353: 345,386,346,160,38,28,394,396,113,139,161,392,134
354: 301,135,28,30,109,141,110,347,394,140,114,139
355: 361,140,141,115
356: 349,310,136,141,115
357: 358,111,138,306,311,351
358: 357,313,396,138,306,113,160
359: 360,114,397,139,316,116,313,113
360: 361,359,140,114,397
361: 360,140,114,355,315,141,115
362: 318,319,325,284,118,366,363
363: 362,325,366,364,142,367,143
364: 320,368,325,119,144,367,363
365: 317,118,366,31,323,371
366: 362,118,365,31,142,363,399
367: 119,333,144,325,364,142,124,363,143,147
368: 364,320,334,327,120,144,369
369: 368,334,327
370: 329,377,330,145,371,150
371: 31,145,323,365,370,330,146
372: 31,34,123,142,331,373,399,146,380,147
373: 34,32,7,332,372,129,153,333,40,380,147
374: 334,33,326,333,375,144,130,36,148
375: 334,374,154,36,131,381,149,148
376: 335,328,131,334,327,125,36
377: 329,370,145,337,338,336,384,132,378,150
378: 385,132,377,338,384,150,155,379
379: 163,156,338,151,378,150,146
380: 34,372,373,153,151,40,152,147,163,157
381: 149,152,148,153,154,375,388,382
382: 388,154,131,159,383,381,149
383: 342,390,341,154,131,159,382
384: 343,336,377,344,385,132,378,155
385: 344,386,132,133,391,378,384,155
386: 353,151,385,345,133,346,352,391,160,156,392,134
387: 162,388,157,393,38,158,134
388: 387,382,157,153,154,159,39,158,381
389: 159,39,395,340,347,348,341,154,390
390: 349,383,341,159,389,136,395,348
391: 344,385,386,352,160,137,138,155,156
392: 156,134,353,386,160,396,161,393
393: 387,162,161,392,134
394: 38,28,395,158,347,354,353,398,140,139,162
395: 159,389,136,141,158,347,394,390
396: 358,113,353,160,397,139,161,392
397: 398,360,359,139,161,396
398: 140,397,139,161,394,162
399: 143,146,366,31,142,372
