center_lower_voxel_uM,center_upper_voxel_uM,center_corner_mean_uM,center_trilinear_uM,center_spherical_average_uM,center_gaussian_uM,average_uM,cell_voxel_average_uM,unique_cell_voxel_count,cell_voxel_window_average_uM,unique_cell_window_voxel_count,cell_trilinear_average_uM,cell_inverse_distance_average_uM,cell_spherical_average_uM,cell_gaussian_average_uM,time_min,layout,run_id,dx_um,dt_diffusion_min,total_volume_um3
9.108914451869277,8.95729995352999,8.590481827812708,8.59048182781271,8.590481827812708,8.836901298349073,9.939570587070401,9.363934531975065,12,9.403858392769203,195,9.215790569823001,9.446251730695959,9.215790569823,9.215790569823001,1.2,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.096721242443307,8.944952145660501,8.578811395310826,8.578811395310826,8.578811395310826,8.825185561203002,9.936405283482634,9.352339949815844,12,9.39266649923607,195,9.204222600476337,9.435581315612948,9.204222600476337,9.204222600476339,1.3,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.085962280946386,8.934088423358448,8.568528837229312,8.56852883722931,8.568528837229312,8.814848914131481,9.933511154460914,9.342065396301255,12,9.38272890644766,195,9.193985164367861,9.426087602398153,9.19398516436786,9.193985164367861,1.4,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.07641251059674,8.92447063179521,8.559413872366267,8.559413872366267,8.559413872366267,8.805676026900493,9.930869650515545,9.332914858595165,12,9.37386448648664,195,9.184878498968036,9.417605978727806,9.184878498968036,9.184878498968036,1.5,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.067896308722087,8.91591374723511,8.551294988456347,8.551294988456347,8.551294988456347,8.797498491918123,9.928462072545514,9.324733052701955,12,9.36592865328477,195,9.176744658502223,9.410003878877193,9.176744658502223,9.176744658502223,1.6,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.060273750794272,8.908270930044548,8.544035805613541,8.544035805613541,8.544035805613541,8.790181853935156,9.92627010048187,9.317394555241034,12,9.35880381898945,195,9.16945629810497,9.403172618898164,9.16945629810497,9.169456298104972,1.7,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.05343121563031,8.901423372604373,8.53752578264177,8.537525782641769,8.53752578264177,8.783616731483164,9.924276136535484,9.310796257898195,12,9.352392719503541,195,9.162908908385596,9.397021648122564,9.162908908385596,9.162908908385594,1.8,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.047274839545603,8.895273263680027,8.531673759288125,8.531673759288127,8.531673759288125,8.777712624138871,9.922463513912593,9.30485204193427,12,9.34661367346166,195,9.157015345963787,9.391474439384966,9.157015345963789,9.157015345963787,1.9,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.041725879770324,8.88973882449313,8.526403391165077,8.526403391165077,8.526403391165077,8.772393519899135,9.920816610073732,9.299488962216756,12,9.341397164980291,195,9.15170191988899,9.386465507424262,9.15170191988899,9.15170191988899,2.0,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.036717379818048,8.884750748247852,8.52164987096856,8.52164987096856,8.52164987096856,8.767594730267092,9.919320893719565,9.294644472923714,12,9.336683345174075,195,9.14690554887338,9.381938214168228,9.14690554887338,9.14690554887338,2.1,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.0321917357784,8.880249605855203,8.517357537461645,8.517357537461645,8.517357537461645,8.763260575207084,9.917962926865197,9.290264381310976,12,9.332420179009176,195,9.142571665484347,9.377843129295716,9.142571665484347,9.142571665484349,2.2,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.028098893992594,8.876183926262986,8.513478105441207,8.513478105441205,8.513478105441207,8.759342664130438,9.916730337396169,9.286301316195852,12,9.32856205040566,195,9.138652647720436,9.37413678692313,9.138652647720436,9.138652647720436,2.3,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.024394996288443,8.872508753828068,8.509969335356242,8.509969335356242,8.509969335356242,8.755798599871564,9.915611773049319,9.282713564225888,12,9.325068696133222,195,9.13510662716047,9.370780727880296,9.13510662716047,9.13510662716047,2.4,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.021041345887053,8.869184547071837,8.506794017745822,8.506794017745822,8.506794017745822,8.75259098623763,9.914596844497353,9.279464171689527,12,9.321904378063303,195,9.131896568960949,9.36774075009688,9.131896568960949,9.131896568960949,2.5,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.018003605499214,8.86617632459126,8.503919185622495,8.503919185622495,8.503919185622495,8.749686655852887,9.913676062849762,9.276520240084404,12,9.319037230067112,195,9.128989550280487,9.364986312341179,9.128989550280487,9.128989550280485,2.6,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.015251165364868,8.863452992011691,8.501315493767486,8.501315493767486,8.501315493767486,8.74705605968242,9.91284077518411,9.273852364640438,12,9.316438734333374,195,9.126356185211554,9.362490052311948,9.12635618521155,9.12635618521155,2.7,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.012756637097052,8.860986803165341,8.498956721688991,8.498956721688991,8.498956721688991,8.74467277663091,9.912083100512803,9.271434179574484,12,9.31408329476587,195,9.123970159207444,9.360227391097608,9.123970159207442,9.123970159207442,2.8,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
9.010495441796992,8.858752922055153,8.49681936934809,8.49681936934809,8.49681936934809,8.74251311344766,9.911395867736832,9.269241984059143,12,9.311947884165894,195,9.121807846410238,9.35817620376519,9.121807846410238,9.121807846410238,2.9,cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1
