time_s,distance_10um,force_nN
1641,0.940905,0.256524
1644,0.940955,0.2562
1647,0.941004,0.255877
1650,0.941054,0.255555
1653,0.941103,0.255233
1656,0.941153,0.254911
1659,0.941202,0.25459
1662,0.941252,0.25427
1665,0.941301,0.25395
1668,0.94135,0.253631
1671,0.941399,0.253312
1674,0.941448,0.252994
1677,0.941497,0.252676
1680,0.941546,0.252359
1683,0.941595,0.252042
1686,0.941644,0.251726
1689,0.941693,0.251411
1692,0.941741,0.251096
1695,0.94179,0.250781
1698,0.941839,0.250467
1701,0.941887,0.250154
1704,0.941936,0.249841
1707,0.941984,0.249529
1710,0.942032,0.249217
1713,0.942081,0.248906
1716,0.942129,0.248595
1719,0.942177,0.248285
1722,0.942225,0.247975
1725,0.942273,0.247666
1728,0.942321,0.247357
1731,0.942369,0.247049
1734,0.942417,0.246741
1737,0.942465,0.246434
1740,0.942513,0.246127
1743,0.94256,0.245821
1746,0.942608,0.245515
1749,0.942655,0.24521
1752,0.942703,0.244906
1755,0.94275,0.244602
1758,0.942798,0.244298
1761,0.942845,0.243995
1764,0.942892,0.243692
1767,0.94294,0.24339
1770,0.942987,0.243089
1773,0.943034,0.242788
1776,0.943081,0.242487
1779,0.943128,0.242187
1782,0.943175,0.241887
1785,0.943221,0.241588
1788,0.943268,0.24129
1791,0.943315,0.240992
1794,0.943362,0.240694
1797,0.943408,0.240397
1800,0.943455,0.2401
1803,0.943501,0.239804
1806,0.943548,0.239509
1809,0.943594,0.239213
1812,0.943641,0.238919
1815,0.943687,0.238625
1818,0.943733,0.238331
1821,0.943779,0.238038
1824,0.943825,0.237745
1827,0.943871,0.237453
1830,0.943917,0.237161
1833,0.943963,0.23687
1836,0.944009,0.236579
1839,0.944055,0.236289
1842,0.944101,0.235999
1845,0.944146,0.23571
1848,0.944192,0.235421
1851,0.944238,0.235132
1854,0.944283,0.234844
1857,0.944329,0.234557
1860,0.944374,0.23427
1863,0.944419,0.233983
1866,0.944465,0.233697
1869,0.94451,0.233412
1872,0.944555,0.233127
1875,0.9446,0.232842
1878,0.944645,0.232558
1881,0.94469,0.232274
1884,0.944735,0.231991
1887,0.94478,0.231708
1890,0.944825,0.231426
1893,0.94487,0.231144
1896,0.944915,0.230863
1899,0.944959,0.230582
1902,0.945004,0.230301
1905,0.945049,0.230021
1908,0.945093,0.229742
1911,0.945138,0.229463
1914,0.945182,0.229184
1917,0.945226,0.228906
1920,0.945271,0.228628
1923,0.945315,0.228351
1926,0.945359,0.228074
1929,0.945403,0.227798
1932,0.945447,0.227522
1935,0.945491,0.227246
1938,0.945535,0.226971
1941,0.945579,0.226697
1944,0.945623,0.226422
1947,0.945667,0.226149
1950,0.945711,0.225875
1953,0.945755,0.225603
1956,0.945798,0.22533
1959,0.945842,0.225058
1962,0.945885,0.224787
1965,0.945929,0.224516
1968,0.945972,0.224245
1971,0.946016,0.223975
1974,0.946059,0.223705
1977,0.946102,0.223436
1980,0.946146,0.223167
1983,0.946189,0.222899
1986,0.946232,0.222631
1989,0.946275,0.222363
1992,0.946318,0.222096
1995,0.946361,0.221829
1998,0.946404,0.221563
2001,0.946447,0.221297
2004,0.94649,0.221032
2007,0.946532,0.220767
2010,0.946575,0.220502
2013,0.946618,0.220238
2016,0.94666,0.219974
2019,0.946703,0.219711
2022,0.946746,0.219448
2025,0.946788,0.219186
2028,0.94683,0.218924
2031,0.946873,0.218662
2034,0.946915,0.218401
2037,0.946957,0.21814
2040,0.947,0.21788
2043,0.947042,0.21762
2046,0.947084,0.217361
2049,0.947126,0.217101
2052,0.947168,0.216843
2055,0.94721,0.216584
2058,0.947252,0.216327
2061,0.947294,0.216069
2064,0.947335,0.215812
2067,0.947377,0.215556
2070,0.947419,0.215299
2073,0.947461,0.215044
2076,0.947502,0.214788
2079,0.947544,0.214533
2082,0.947585,0.214279
2085,0.947627,0.214024
2088,0.947668,0.213771
2091,0.947709,0.213517
2094,0.947751,0.213264
2097,0.947792,0.213012
2100,0.947833,0.21276
2103,0.947874,0.212508
2106,0.947916,0.212256
2109,0.947957,0.212005
2112,0.947998,0.211755
2115,0.948039,0.211505
2118,0.948079,0.211255
2121,0.94812,0.211006
2124,0.948161,0.210757
2127,0.948202,0.210508
2130,0.948243,0.21026
2133,0.948283,0.210012
2136,0.948324,0.209765
2139,0.948365,0.209518
2142,0.948405,0.209271
2145,0.948446,0.209025
2148,0.948486,0.208779
2151,0.948526,0.208533
2154,0.948567,0.208288
2157,0.948607,0.208044
2160,0.948647,0.207799
2163,0.948687,0.207555
2166,0.948728,0.207312
2169,0.948768,0.207069
2172,0.948808,0.206826
2175,0.948848,0.206584
2178,0.948888,0.206342
2181,0.948928,0.2061
2184,0.948967,0.205859
2187,0.949007,0.205618
2190,0.949047,0.205377
2193,0.949087,0.205137
2196,0.949126,0.204897
2199,0.949166,0.204658
2202,0.949206,0.204419
2205,0.949245,0.204181
2208,0.949285,0.203942
2211,0.949324,0.203704
2214,0.949363,0.203467
2217,0.949403,0.20323
2220,0.949442,0.202993
2223,0.949481,0.202757
2226,0.949521,0.202521
2229,0.94956,0.202285
2232,0.949599,0.20205
2235,0.949638,0.201815
2238,0.949677,0.20158
2241,0.949716,0.201346
2244,0.949755,0.201112
2247,0.949794,0.200879
2250,0.949833,0.200646
2253,0.949871,0.200413
2256,0.94991,0.200181
2259,0.949949,0.199949
2262,0.949987,0.199717
2265,0.950026,0.199486
2268,0.950065,0.199255
2271,0.950103,0.199024
2274,0.950142,0.198794
2277,0.95018,0.198564
2280,0.950219,0.198335
2283,0.950257,0.198106
2286,0.950295,0.197877
2289,0.950333,0.197648
2292,0.950372,0.19742
2295,0.95041,0.197193
2298,0.950448,0.196965
2301,0.950486,0.196738
2304,0.950524,0.196512
2307,0.950562,0.196285
2310,0.9506,0.196059
2313,0.950638,0.195834
2316,0.950676,0.195609
2319,0.950714,0.195384
2322,0.950751,0.195159
2325,0.950789,0.194935
2328,0.950827,0.194711
2331,0.950864,0.194487
2334,0.950902,0.194264
2337,0.95094,0.194041
2340,0.950977,0.193819
2343,0.951015,0.193597
2346,0.951052,0.193375
2349,0.951089,0.193153
2352,0.951127,0.192932
2355,0.951164,0.192711
2358,0.951201,0.192491
2361,0.951238,0.192271
2364,0.951276,0.192051
2367,0.951313,0.191832
2370,0.95135,0.191613
2373,0.951387,0.191394
2376,0.951424,0.191175
2379,0.951461,0.190957
2382,0.951498,0.190739
2385,0.951535,0.190522
2388,0.951571,0.190305
2391,0.951608,0.190088
2394,0.951645,0.189872
2397,0.951682,0.189656
2400,0.951718,0.18944
2403,0.951755,0.189224
2406,0.951791,0.189009
2409,0.951828,0.188794
2412,0.951864,0.18858
2415,0.951901,0.188366
2418,0.951937,0.188152
2421,0.951974,0.187939
2424,0.95201,0.187725
2427,0.952046,0.187513
2430,0.952082,0.1873
2433,0.952119,0.187088
2436,0.952155,0.186876
2439,0.952191,0.186664
2442,0.952227,0.186453
2445,0.952263,0.186242
2448,0.952299,0.186032
2451,0.952335,0.185821
2454,0.952371,0.185611
2457,0.952407,0.185402
2460,0.952443,0.185192
2463,0.952478,0.184983
2466,0.952514,0.184775
2469,0.95255,0.184566
2472,0.952586,0.184358
2475,0.952621,0.184151
2478,0.952657,0.183943
2481,0.952692,0.183736
2484,0.952728,0.183529
2487,0.952763,0.183323
2490,0.952799,0.183117
2493,0.952834,0.182911
2496,0.952869,0.182705
2499,0.952905,0.1825
2502,0.95294,0.182295
2505,0.952975,0.18209
2508,0.95301,0.181886
2511,0.953045,0.181682
2514,0.953081,0.181478
2517,0.953116,0.181275
2520,0.953151,0.181072
2523,0.953186,0.180869
2526,0.953221,0.180667
2529,0.953255,0.180464
2532,0.95329,0.180263
2535,0.953325,0.180061
2538,0.95336,0.17986
2541,0.953395,0.179659
2544,0.953429,0.179458
2547,0.953464,0.179258
2550,0.953499,0.179058
2553,0.953533,0.178858
2556,0.953568,0.178658
2559,0.953602,0.178459
2562,0.953637,0.17826
2565,0.953671,0.178062
2568,0.953706,0.177864
2571,0.95374,0.177666
2574,0.953774,0.177468
2577,0.953809,0.17727
2580,0.953843,0.177073
2583,0.953877,0.176877
2586,0.953911,0.17668
2589,0.953945,0.176484
2592,0.953979,0.176288
2595,0.954014,0.176092
2598,0.954048,0.175897
2601,0.954082,0.175702
2604,0.954115,0.175507
2607,0.954149,0.175313
2610,0.954183,0.175118
2613,0.954217,0.174925
2616,0.954251,0.174731
2619,0.954285,0.174538
2622,0.954318,0.174345
2625,0.954352,0.174152
2628,0.954386,0.173959
2631,0.954419,0.173767
2634,0.954453,0.173575
2637,0.954486,0.173384
2640,0.95452,0.173192
2643,0.954553,0.173001
2646,0.954587,0.172811
2649,0.95462,0.17262
2652,0.954653,0.17243
2655,0.954687,0.17224
2658,0.95472,0.17205
2661,0.954753,0.171861
2664,0.954786,0.171672
2667,0.95482,0.171483
2670,0.954853,0.171295
2673,0.954886,0.171106
2676,0.954919,0.170918
2679,0.954952,0.170731
2682,0.954985,0.170543
2685,0.955018,0.170356
2688,0.955051,0.170169
2691,0.955083,0.169983
2694,0.955116,0.169796
2697,0.955149,0.16961
2700,0.955182,0.169425
2703,0.955215,0.169239
2706,0.955247,0.169054
2709,0.95528,0.168869
2712,0.955312,0.168684
2715,0.955345,0.1685
2718,0.955378,0.168316
2721,0.95541,0.168132
2724,0.955443,0.167948
2727,0.955475,0.167765
2730,0.955507,0.167582
2733,0.95554,0.167399
2736,0.955572,0.167217
2739,0.955604,0.167034
2742,0.955637,0.166852
2745,0.955669,0.166671
2748,0.955701,0.166489
2751,0.955733,0.166308
2754,0.955765,0.166127
2757,0.955797,0.165946
2760,0.955829,0.165766
2763,0.955861,0.165586
2766,0.955893,0.165406
2769,0.955925,0.165226
2772,0.955957,0.165047
2775,0.955989,0.164868
2778,0.956021,0.164689
2781,0.956053,0.16451
2784,0.956084,0.164332
2787,0.956116,0.164154
2790,0.956148,0.163976
2793,0.956179,0.163799
2796,0.956211,0.163621
2799,0.956243,0.163444
2802,0.956274,0.163268
2805,0.956306,0.163091
2808,0.956337,0.162915
2811,0.956369,0.162739
2814,0.9564,0.162563
2817,0.956431,0.162388
2820,0.956463,0.162212
2823,0.956494,0.162037
2826,0.956525,0.161863
2829,0.956557,0.161688
2832,0.956588,0.161514
2835,0.956619,0.16134
2838,0.95665,0.161166
2841,0.956681,0.160993
2844,0.956712,0.16082
2847,0.956743,0.160647
2850,0.956774,0.160474
2853,0.956805,0.160301
2856,0.956836,0.160129
2859,0.956867,0.159957
2862,0.956898,0.159785
2865,0.956929,0.159614
2868,0.95696,0.159443
2871,0.956991,0.159272
2874,0.957021,0.159101
2877,0.957052,0.158931
2880,0.957083,0.15876
2883,0.957113,0.15859
2886,0.957144,0.15842
2889,0.957175,0.158251
2892,0.957205,0.158082
