snap,conc_mean
326,9.837252693894548
327,9.838866774054152
328,9.840464287751317
329,9.84204540519295
330,9.843610294830787
331,9.845159123379727
332,9.84669205583598
333,9.848209255494988
334,9.84971088396919
335,9.851197101205559
336,9.852668065502963
337,9.854123933529348
338,9.855564860338715
339,9.856990999387923
340,9.85840250255331
341,9.859799520147147
342,9.861182200933877
343,9.862550692146241
344,9.863905139501147
345,9.865245687215474
346,9.866572478021599
347,9.867885653182832
348,9.869185352508666
349,9.87047171436984
350,9.871744875713283
351,9.87300497207686
352,9.874252137603985
353,9.875486505058078
354,9.876708205836847
355,9.877917369986443
356,9.879114126215454
357,9.880298601908748
358,9.881470923141178
359,9.88263121469113
360,9.883779600053945
361,9.884916201455173
362,9.886041139863725
363,9.887154535004836
364,9.888256505372945
365,9.88934716824441
366,9.890426639690071
367,9.891495034587733
368,9.892552466634465
369,9.893599048358803
370,9.89463489113282
371,9.895660105184044
372,9.896674799607295
373,9.89767908237635
374,9.89867306035553
375,9.899656839311131
376,9.900630523922759
377,9.90159421779453
378,9.902548023466164
379,9.90349204242396
380,9.904426375111653
381,9.905351120941159
382,9.906266378303217
383,9.907172244577897
384,9.908068816145029
385,9.908956188394505
386,9.909834455736469
387,9.910703711611413
388,9.91156404850017
389,9.912415557933784
390,9.913258330503297
391,9.914092455869433
392,9.914918022772163
393,9.915735119040198
394,9.916543831600352
395,9.91734424648684
396,9.918136448850449
397,9.918920522967648
398,9.919696552249567
399,9.920464619250911
400,9.921224805678762
401,9.921977192401304
402,9.92272185945646
403,9.923458886060418
404,9.924188350616086
405,9.924910330721469
406,9.925624903177924
407,9.926332143998374
408,9.927032128415402
409,9.927724930889271
410,9.928410625115884
411,9.929089284034623
412,9.92976097983613
413,9.93042578397001
414,9.931083767152444
415,9.93173499937372
416,9.932379549905715
417,9.933017487309257
418,9.933648879441439
419,9.934273793462859
420,9.934892295844762
421,9.935504452376136
422,9.936110328170725
423,9.936709987673952
424,9.937303494669793
425,9.93789091228758
426,9.938472303008716
427,9.939047728673343
428,9.939617250486908
429,9.94018092902671
430,9.940738824248339
431,9.941290995492054
432,9.941837501489113
433,9.942378400368035
434,9.94291374966078
435,9.943443606308875
436,9.943968026669483
437,9.944487066521406
438,9.945000781071018
439,9.945509224958146
440,9.946012452261899
441,9.946510516506402
