88	 -4.95142, 0, 0	 4.95163, 0, 0
89	 -4.95218, 0, 0	 4.95238, 0, 0
90	 -4.95292, 0, 0	 4.95312, 0, 0
91	 -4.95364, 0, 0	 4.95385, 0, 0
92	 -4.95435, 0, 0	 4.95455, 0, 0
93	 -4.95504, 0, 0	 4.95525, 0, 0
94	 -4.95572, 0, 0	 4.95592, 0, 0
95	 -4.95638, 0, 0	 4.95658, 0, 0
96	 -4.95702, 0, 0	 4.95723, 0, 0
97	 -4.95765, 0, 0	 4.95786, 0, 0
98	 -4.95827, 0, 0	 4.95847, 0, 0
99	 -4.95887, 0, 0	 4.95908, 0, 0
100	 -4.95946, 0, 0	 4.95967, 0, 0
101	 -4.96004, 0, 0	 4.96025, 0, 0
102	 -4.96061, 0, 0	 4.96081, 0, 0
103	 -4.96116, 0, 0	 4.96137, 0, 0
104	 -4.9617, 0, 0	 4.96191, 0, 0
105	 -4.96223, 0, 0	 4.96244, 0, 0
106	 -4.96275, 0, 0	 4.96296, 0, 0
107	 -4.96326, 0, 0	 4.96347, 0, 0
108	 -4.96376, 0, 0	 4.96397, 0, 0
109	 -4.96425, 0, 0	 4.96446, 0, 0
110	 -4.96473, 0, 0	 4.96494, 0, 0
111	 -4.9652, 0, 0	 4.96541, 0, 0
112	 -4.96566, 0, 0	 4.96587, 0, 0
113	 -4.96611, 0, 0	 4.96632, 0, 0
114	 -4.96655, 0, 0	 4.96676, 0, 0
115	 -4.96698, 0, 0	 4.96719, 0, 0
116	 -4.96741, 0, 0	 4.96762, 0, 0
117	 -4.96783, 0, 0	 4.96803, 0, 0
118	 -4.96824, 0, 0	 4.96844, 0, 0
119	 -4.96864, 0, 0	 4.96884, 0, 0
120	 -4.96903, 0, 0	 4.96924, 0, 0
121	 -4.96942, 0, 0	 4.96962, 0, 0
122	 -4.96979, 0, 0	 4.97, 0, 0
123	 -4.97017, 0, 0	 4.97037, 0, 0
124	 -4.97053, 0, 0	 4.97074, 0, 0
125	 -4.97089, 0, 0	 4.9711, 0, 0
126	 -4.97124, 0, 0	 4.97145, 0, 0
127	 -4.97159, 0, 0	 4.9718, 0, 0
128	 -4.97193, 0, 0	 4.97214, 0, 0
129	 -4.97226, 0, 0	 4.97247, 0, 0
130	 -4.97259, 0, 0	 4.9728, 0, 0
131	 -4.97291, 0, 0	 4.97312, 0, 0
132	 -4.97322, 0, 0	 4.97343, 0, 0
133	 -4.97353, 0, 0	 4.97374, 0, 0
134	 -4.97384, 0, 0	 4.97405, 0, 0
135	 -4.97414, 0, 0	 4.97435, 0, 0
136	 -4.97443, 0, 0	 4.97464, 0, 0
137	 -4.97472, 0, 0	 4.97493, 0, 0
138	 -4.97501, 0, 0	 4.97522, 0, 0
139	 -4.97529, 0, 0	 4.9755, 0, 0
140	 -4.97556, 0, 0	 4.97577, 0, 0
141	 -4.97583, 0, 0	 4.97604, 0, 0
142	 -4.9761, 0, 0	 4.97631, 0, 0
143	 -4.97636, 0, 0	 4.97657, 0, 0
144	 -4.97662, 0, 0	 4.97683, 0, 0
145	 -4.97687, 0, 0	 4.97708, 0, 0
146	 -4.97712, 0, 0	 4.97733, 0, 0
147	 -4.97737, 0, 0	 4.97758, 0, 0
148	 -4.97761, 0, 0	 4.97782, 0, 0
149	 -4.97784, 0, 0	 4.97805, 0, 0
150	 -4.97808, 0, 0	 4.97829, 0, 0
151	 -4.97831, 0, 0	 4.97852, 0, 0
152	 -4.97853, 0, 0	 4.97874, 0, 0
153	 -4.97876, 0, 0	 4.97897, 0, 0
154	 -4.97898, 0, 0	 4.97918, 0, 0
155	 -4.97919, 0, 0	 4.9794, 0, 0
156	 -4.9794, 0, 0	 4.97961, 0, 0
157	 -4.97961, 0, 0	 4.97982, 0, 0
158	 -4.97982, 0, 0	 4.98003, 0, 0
159	 -4.98002, 0, 0	 4.98023, 0, 0
160	 -4.98022, 0, 0	 4.98043, 0, 0
161	 -4.98042, 0, 0	 4.98063, 0, 0
162	 -4.98061, 0, 0	 4.98082, 0, 0
163	 -4.9808, 0, 0	 4.98101, 0, 0
