layout,run_id,dx_um,dt_diffusion_min,total_volume_um3,point_count,mean_absolute_error_uM,rmse_uM,mean_relative_error_percent,max_relative_error_percent
cells_10,cells_10__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1.0,101,0.10745197936238925,0.11084625028120483,1.0968768038119274,1.2364205201159235
inner_voxels,inner_voxels__dx_40um__dtdiff_0p1min__volume_1um3,40.0,0.1,1.0,101,0.10940139870680342,0.11401208397268743,1.1169905170556496,1.2985378000858405
inner_voxels,inner_voxels__dx_10um__dtdiff_0p05min__volume_1um3,10.0,0.05,1.0,101,0.11163253482498882,0.11515172429268572,1.1395506857477802,1.2843617717904372
inner_voxels,inner_voxels__dx_40um__dtdiff_0p05min__volume_1um3,40.0,0.05,1.0,101,0.11453720165241245,0.11936981384434209,1.1694281022742874,1.3593948581788566
cells_10,cells_10__dx_10um__dtdiff_0p1min__volume_1um3,10.0,0.1,1.0,101,0.12015802554479091,0.1236861731595404,1.2265215951459532,1.366395555571087
inner_voxels,inner_voxels__dx_10um__dtdiff_0p1min__volume_1um3,10.0,0.1,1.0,101,0.1221572711630777,0.12575085834875202,1.2469305723623638,1.3895053135220539
cells_10,cells_10__dx_5um__dtdiff_0p05min__volume_1000um3,5.0,0.05,1000.0,101,0.1563698043830999,0.1611731432378463,1.5962042876184486,1.7919359007537323
cells_10,cells_10__dx_5um__dtdiff_0p05min__volume_523um3,5.0,0.05,523.0,101,0.1563761186748788,0.16117969627208428,1.5962687529402253,1.792011160411557
inner_voxels,inner_voxels__dx_5um__dtdiff_0p05min__volume_1000um3,5.0,0.05,1000.0,101,0.156912085377155,0.16170026197773596,1.601732810488988,1.7970562081329904
inner_voxels,inner_voxels__dx_5um__dtdiff_0p05min__volume_523um3,5.0,0.05,523.0,101,0.15728003859165962,0.16208711939183257,1.60549054472869,1.8010859908023567
cells_10,cells_10__dx_5um__dtdiff_0p05min__volume_1um3,5.0,0.05,1.0,101,0.16214533441334913,0.1671678048167244,1.655169265155421,1.8608292172434777
inner_voxels,inner_voxels__dx_5um__dtdiff_0p05min__volume_1um3,5.0,0.05,1.0,101,0.16308666165167324,0.1681364309327218,1.6647778849735124,1.8716644929336828
inner_voxels,inner_voxels__dx_5um__dtdiff_0p1min__volume_1000um3,5.0,0.1,1000.0,101,0.17015099635012057,0.17535528024864538,1.7368758040620167,1.9467605633467204
cells_10,cells_10__dx_5um__dtdiff_0p1min__volume_1000um3,5.0,0.1,1000.0,101,0.17018879380623977,0.1754050058694864,1.7372640254319582,1.9476589747927837
cells_10,cells_10__dx_5um__dtdiff_0p1min__volume_523um3,5.0,0.1,523.0,101,0.17019075459679822,0.17540705186862537,1.7372840464828423,1.9476829782217702
inner_voxels,inner_voxels__dx_5um__dtdiff_0p1min__volume_523um3,5.0,0.1,523.0,101,0.17022689528156099,0.17543533579516596,1.7376509853134479,1.9476016308303166
cells_10,cells_10__dx_5um__dtdiff_0p1min__volume_1um3,5.0,0.1,1.0,101,0.172138831827773,0.17743993928414506,1.7571752955610573,1.9715688256324444
inner_voxels,inner_voxels__dx_5um__dtdiff_0p1min__volume_1um3,5.0,0.1,1.0,101,0.17223341778549478,0.17753334611644359,1.7581399278893806,1.9724433739466316
inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,101,0.24629282409940761,0.25051347548945607,2.5132507308417225,2.695771173048528
cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,101,0.24629282409940767,0.25051347548945607,2.513250730841723,2.695771173048528
cells_10,cells_10__dx_20um__dtdiff_0p1min__volume_1000um3,20.0,0.1,1000.0,101,0.24754725577108863,0.2517858186413967,2.526050290693324,2.7093892603133964
inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_1000um3,20.0,0.1,1000.0,101,0.2475472557710888,0.2517858186413968,2.5260502906933255,2.7093892603133964
cells_10,cells_10__dx_20um__dtdiff_0p05min__volume_523um3,20.0,0.05,523.0,101,0.3223924100491201,0.32695144510957436,3.2894039277697935,3.501889592224135
inner_voxels,inner_voxels__dx_20um__dtdiff_0p05min__volume_523um3,20.0,0.05,523.0,101,0.3223924100491202,0.3269514451095745,3.2894039277697953,3.501889592224135
inner_voxels,inner_voxels__dx_20um__dtdiff_0p05min__volume_1000um3,20.0,0.05,1000.0,101,0.32428371189550825,0.32886311984704486,3.3086990099605442,3.5221341191397095
cells_10,cells_10__dx_20um__dtdiff_0p05min__volume_1000um3,20.0,0.05,1000.0,101,0.3242837118955085,0.328863119847045,3.3086990099605464,3.5221341191397095
cells_10,cells_10__dx_40um__dtdiff_0p1min__volume_523um3,40.0,0.1,523.0,101,0.3268183619555132,0.32930953972744015,3.3333156010190885,3.6014017240569447
cells_10,cells_10__dx_40um__dtdiff_0p1min__volume_1000um3,40.0,0.1,1000.0,101,0.32691336226542134,0.3294047617016529,3.334284372141334,3.6023892198984218
cells_10,cells_10__dx_40um__dtdiff_0p05min__volume_523um3,40.0,0.05,523.0,101,0.3611046567937627,0.36366542386010076,3.6827940176821596,4.0061149599898
cells_10,cells_10__dx_40um__dtdiff_0p05min__volume_1000um3,40.0,0.05,1000.0,101,0.36144642548846234,0.3640086469475512,3.6862793252341537,4.009686779411709
inner_voxels,inner_voxels__dx_40um__dtdiff_0p1min__volume_523um3,40.0,0.1,523.0,101,0.858396307194557,0.8642894793683209,8.755066271547225,9.142519866594059
inner_voxels,inner_voxels__dx_40um__dtdiff_0p1min__volume_1000um3,40.0,0.1,1000.0,101,0.8701382551078353,0.8760097672899237,8.874769146092396,9.263050744491915
inner_voxels,inner_voxels__dx_40um__dtdiff_0p05min__volume_523um3,40.0,0.05,523.0,101,0.8971827552243985,0.9028415411726238,9.15018311949421,9.57551797200914
