center_lower_voxel_uM,center_upper_voxel_uM,center_corner_mean_uM,center_trilinear_uM,center_spherical_average_uM,center_gaussian_uM,average_uM,cell_voxel_average_uM,unique_cell_voxel_count,cell_voxel_window_average_uM,unique_cell_window_voxel_count,cell_trilinear_average_uM,cell_inverse_distance_average_uM,cell_spherical_average_uM,cell_gaussian_average_uM,time_min,layout,run_id,dx_um,dt_diffusion_min,total_volume_um3,center_concentration_uM,average_concentration_uM,absolute_error_uM,relative_error_percent
0.04850990768304099,6.332422557213526,3.1904662324482835,3.1904662324482835,3.1904662324482835,4.970347271773184,9.524154435570898,4.583413026938926,12,7.021215400059284,96,4.583413026938926,7.905004394623497,5.26339443780189,4.584998636908201,4.0,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.155919008597731,9.788014816101969,0.26386038053107086,2.6957497050065973
0.048501494869010016,6.331205367519401,3.189853431194206,3.189853431194206,3.189853431194206,4.969494496140463,9.523745169544778,4.582585416602843,12,7.020125930247251,96,4.582585416602843,7.9040220737124125,5.262486024305052,4.584170838168677,4.1,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.154297122960201,9.787596371049885,0.26385120150510666,2.695771173048528
0.04849407195110151,6.3301305200286615,3.189312295989882,3.1893122959898816,3.189312295989882,4.968741672963772,9.523383974836245,4.581854779973827,12,7.01916432264989,96,4.581854779973827,7.903155076553165,5.2616841107175745,4.583440035347854,4.2,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.152833709211189,9.787218806984594,0.26383483214834946,2.695707916124908
0.04848752227966078,6.329181397457933,3.188834459868797,3.188834459868797,3.188834459868797,4.9680770935096845,9.523065202874845,4.5812097623166546,12,7.018315569713072,96,4.581209762316656,7.902389861293766,5.260976216619422,4.582794871085819,4.3,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.151513280406961,9.786878130190564,0.26381292731571904,2.6955779341106627
0.04848174298530672,6.32834331789797,3.188412530441639,3.188412530441639,3.188412530441639,4.9674904197842515,9.522783869184583,4.580640337340878,12,7.017566425895519,96,4.580640337340879,7.901714476884795,5.260351323512659,4.582225316778656,4.4,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.150321864004964,9.78657073702476,0.263786867840178,2.695396323476353
0.04847664334385385,6.327603310034982,3.188039976689418,3.188039976689419,3.188039976689418,4.966972524114175,9.52253557525339,4.580137651866873,12,7.016905200608195,96,4.580137651866873,7.901118376043882,5.259799703580849,4.581722517207406,4.5,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.149246853490601,9.78629337584273,0.2637578005893406,2.695175695840281
0.04847214333685269,6.326949914425515,3.187711028881184,3.187711028881184,3.187711028881184,4.96651534752436,9.522316439600583,4.579693888673992,12,7.016321575548119,96,4.579693888673993,7.9005922502523385,5.259312768539703,4.581278653353581,4.6,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.14827687463078,9.786043112632328,0.26372667303174424,2.6949265397299578
0.04846817238395231,6.326373007795203,3.1874205900895776,3.1874205900895785,3.1874205900895776,4.966111774695224,9.522123036959641,4.579302145388103,12,7.015806443532374,96,4.579302145388102,7.900127884176887,5.258882936204937,4.580886821257978,4.7,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.1474016648840735,9.785817299998163,0.2636942630385217,2.6946575329847127
0.048464668226286756,6.325863647692039,3.1871641579591627,3.187164157959163,3.1871641579591627,4.965755523550366,9.521952344620555,4.578956327524383,12,7.015351766287953,96,4.578956327524385,7.899718027221412,5.25850351269021,4.580540925038194,4.8,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.146611964654159,9.785613549170487,0.2636612045499316,2.6943758122584125
0.04846157594267876,6.325413935138769,3.186937755540725,3.1869377555407246,3.186937755540725,4.965441047758076,9.521801695088396,4.578651054026552,12,7.014950448958697,96,4.578651054026552,7.899356280187166,5.258168588398154,4.580235582405575,4.9,inner_voxels,inner_voxels__dx_20um__dtdiff_0p1min__volume_523um3,20.0,0.1,523.0,7.145899419209597,9.785429704745448,0.2636280096570527,2.694087205278335
