539: 518,924,338,669,133,2,588
540: 394,392
541: 76,704,52,770,485,263
542: 650,395,613,711,29,239
543: 703,163,8,956,354,256
544: 800,192,396,820,483
545: 791,339,526,264,131,84
546: 406,574,22,979,750,9
547: 594,578,413,737,271,634,459
548: 761,613,451,212,536,10
549: 319,265,558,437,2,13
550: 1000,177,242,81,788,397,935
551: 307,293,706,874,988,11
552: 687,166,614,127,135,894
553: 835,398,927,503,464,456
554: 589,530,74,804,266,636
555: 876,823,12,847,675,306
556: 223,822,963,372,399,608
557: 36,138,571,438,671,267
558: 319,549,470,256,1023,13
559: 243,1002,178,400,622,32
560: 733,625,136,624,960,615
561: 280,165,910,620,361,712
562: 826,975,208,933,317,229
563: 137,714,281,268,3,565
564: 402,351,773,1013,472,382
565: 3,467,521,756,137,563
566: 291,1022,15,888,500,845
567: 273,269,587,142,35,591
568: 522,971,228,973,403,616
569: 1019,754,252,16,901,302
570: 977,213,708,230,404,934
571: 479,427,138,284,557,267
572: 89,445,179,946,11,405
573: 982,270,952,666,26,45
574: 378,406,938,546,1005,9
575: 17,139,576,662,657,335
576: 17,575,936,335,209
577: 230,827,404,626,55,422
578: 547,283,134,594,644,634
579: 624,960,341,279,769,18
580: 339,883,114,526,288,25
581: 223,963,117,408
582: 434,444,272,695,660,998
583: 683,297,19,345,52,263
584: 180,409,42
585: 4,275,785,602,141,913
586: 195,962,899,222,476,20
587: 742,68,273,861,567,269
588: 410,983,2,265,539,518
589: 258,530,74,21,520,554
590: 985,234,412,411,817,359
591: 35,333,435,567,142
592: 806,412
593: 371,22,207,370,991,989
594: 547,134,578,109,867,413
595: 374,23,997,172,472,202
596: 815,73,305,274,155,39
597: 786,668,46,178,622,414
598: 24,377,1003,865,772,992
599: 932,143,682,294,342
600: 380,288,655,25,684,33
601: 875,111,415,831,480
602: 113,275,585,332,908,141
603: 1015,390,383,26,982,367
604: 257,516,740,299,514,144
605: 416,787,183,830
606: 27,517,664,244,229
607: 461,741,145,512,758,448
608: 995,44,822,556,417,399
609: 881,740,324,748,276
610: 1008,28,391,672,866,507,453
611: 146,852,306,775,12
612: 50,96,834,764,418,870
613: 548,711,451,542,10,29
614: 440,552,277,166,914,127
615: 733,625,136,560,140,33,419
616: 30,57,568,228,403,619
617: 907,84,797,264,709,147
618: 876,315,510,833,184,420
619: 398,403,31,205,30,616
620: 14,280,236,561,361,970
621: 527,278,852,61,957
622: 1021,414,32,597,178,559
623: 860,645,151,320,148,311
624: 190,136,960,579,560,279
625: 960,615,560,140,131,356
626: 94,827,282,577,816,489,422
627: 290,141,690,908,149,314
628: 261,271,34,425,533,459,637
629: 990,216,498,423,834,173
630: 14,280,130,426,519,323
631: 318,977,407,150,221,854
632: 186,424,471,768,767,174
633: 35,333,911,673,158,338
634: 271,151,637,547,283,578
635: 374,235,1013,137,281,967
636: 804,763,310,697,74,554
637: 271,151,320,425,634,628
638: 689,152,431,189,677,71
639: 426,836,910,519,837,533
640: 793,407,827,282,150,6
641: 777,394,37,443,309,941
642: 3,455,521,325,153,77
643: 357,187,479,427,869,792
644: 70,961,283,134,783,578
645: 38,262,623,860,148,537
646: 428,296,322,755,992,24
647: 78,905,450,774,897,39
648: 875,700,188
649: 154,535,698,240,996,7
650: 994,895,430,395,542,239
651: 207,87,991,931,811,40
652: 159,759,686,678,928
653: 725,839,431,497,71,119
654: 310,284,697,162,948,49
655: 380,600,33,419,432,1009,780
656: 215,810,99,840,41,405
657: 156,72,575,662,335,969
658: 341,279,940,346,433,75
659: 885,739,985,234,180,42
660: 434,582,120,499,998,843
661: 43,250,747,688,919
662: 139,575,286,657,435,156
663: 735,756,846,995,44,467
664: 285,1004,244,975,229,606
665: 961,783,367,222,1015,751
666: 352,83,671,952,573,104,45
667: 938,328,210,182,157,88
668: 776,597,46,414
669: 437,887,829,133,2,539
670: 475,781,47,889,721,116
671: 352,666,438,557,67,952,267
672: 48,534,391,28,610
673: 633,911,158,300,757,801
674: 803,371,948,301,792,49
675: 243,1020,501,847,439,823,555
676: 292,139,286
677: 689,152,638,161,870,50
678: 686,652
679: 914,506,879,149,290,440
680: 199,524,913,690,287,723
681: 820,483,340,91,727,51
682: 143,599,132,530,266,342,160
683: 765,703,8,297,583,52
684: 380,288,600,457,25,726
685: 218,898,90,53,434,120
686: 441,800,678,928,652
687: 552,289,166,942,82,135
688: 922,1016,54,201,250,661,919
689: 877,947,638,161,189,677
690: 627,199,290,141,680,913
691: 285,287,401,1004,85,723
692: 934,491,336,55,824,404
693: 176,331,905,709,147,443
694: 291,1011,921,862,202,172
695: 196,903,330,444,272,582
696: 380,457,1009,307,445,840
697: 763,310,654,636,162,925
698: 38,154,446,649,66,240
699: 381,56,828,208,933,493
700: 875,648,111,873,188,447
701: 904,292,123,273,861
702: 217,303,448,504,858,100
703: 163,683,543,8,297,729
704: 541,485,263,896,194,449
705: 819,228,389,529,57,906
706: 996,7,323,293,551,874
707: 217,951,460,164,504,62
708: 58,318,977,943,213,570
709: 905,693,450,147,907,617
710: 65,143,400,294,786,178,987
711: 248,613,1012,451,395,542
712: 361,509,458,871,165,561
713: 495,452,835,844,464,747
714: 841,281,268,59,563,388
715: 295,958,923,849,185,805,824
716: 1018,362,909,845,60
717: 289,277,98,166,43,919
718: 802,453,880,830,183,391
719: 502,224,126,61,376,220
720: 518,924,454,158,300,233
721: 62,116,522,387,781,670
722: 455,467,521,846,102
723: 287,401,691,199,680,63
724: 922,1016,902,784,337,816
725: 839,653,497
726: 288,457,684,486,810,883
727: 681,91,167,51,313,766
728: 241,64,998,857,508,272
729: 703,163,297,814,778,488
730: 732,520,168,987,65,132
731: 458,58,318,251,871,854
732: 258,730,520,515,257,168
733: 136,884,615,560,446,66,419
734: 744,204,801,298,454,300
735: 846,373,995,663,169
736: 67,195,962,267,357,427
737: 182,103,821,413,547,271,459
738: 247,170,1010,505
739: 885,951,460,234,115,659
740: 881,609,299,516,604,276
741: 461,882,252,16,512,607
742: 68,269,587,375,887,191
743: 853,762,104,859,83,462
744: 204,925,801,734,86,984
745: 463,790,749,253,254
746: 867,378,1005,171,20,109
747: 464,43,250,661,713,452
748: 69,513,609,276
749: 465,254,745
750: 301,9,869,22,979,546
751: 1000,807,436,70,961,665,1015
752: 993,372,921,23,399,172
753: 990,949,216,237,950,466
754: 1019,927,569,205,302,855
755: 296,646,322,497,71,152
756: 663,44,986,137,467,565
757: 86,226,911,72,673,801
758: 954,956,303,448,145,607
759: 652,159,155,340,73,928
760: 193,255,511,468,127,894
761: 304,548,451,926,212,114
762: 900,853,743,859,469,121
763: 697,636,368,984,925,74
764: 525,173,418,1003,612,834
765: 683,8,52,770,316,470
766: 313,75,214,940,727,167
767: 768,864,174,390,532,632
768: 767,390,26,45,632,471
769: 930,305,341,579,18,197
770: 76,541,52,765,999,316
771: 175,536,10,392
772: 325,321,865,77,598,377
773: 107,402,862,202,564,472
774: 329,897,78,647
775: 900,186,306,424,611,852
776: 668,523,46,473
777: 394,443,641,176
778: 814,915,334,345,297,729
779: 397,940,346,214,945,474
780: 240,996,432,1009,293,655
781: 475,670,966,164,721,62
782: 108,383,532,177,242,436
783: 476,961,134,644,665,222
784: 902,122,393,80,337,724
785: 4,275,308,878,585,484
786: 597,46,369,178,987,710
787: 477,183,534,605
788: 537,81,550,344,935
789: 89,809,421,179,1017,118
790: 463,745,253,439,478
791: 926,339,545,264,309,941
792: 301,479,643,869,49,674
793: 640,347,282,942,82,6
794: 475,181,480,111,47,447
795: 352,83,462,342,160,438
796: 50,349,96,384,481,161
797: 356,907,84,18,617,197
798: 482,112
799: 482,200,976,85
800: 686,441,928,192,544,483
801: 744,734,673,300,757,86
802: 113,718,880,830,275,484
803: 371,948,87,991,674,350
804: 266,310,36,138,636,554
805: 295,715,824,491,157,88
806: 592,412,180,985
807: 1000,751,148,81,311,70
808: 76,485,170,1010,375
809: 789,89,481,1017,893,384
810: 656,486,840,41,457,726
811: 983,312,931,233,40,651
812: 538,53,330,444,1006,487
813: 958,923,538,203,355,90
814: 778,334,885,115,729,488
815: 73,51,313,930,596,305
816: 94,626,337,922,724,489
817: 966,181,359,411,95,590
818: 332,908,101,314,211,974
819: 490,866,228,389,973,705
820: 483,681,91,1001,376,396,544
821: 182,103,737,848,920
822: 92,223,556,373,995,608
823: 439,876,315,478,555,675
824: 55,185,805,715,491,692
825: 402,351,60,909,93,950
826: 562,208,229,517,386,492
827: 230,640,94,407,282,577,626
828: 850,468,933,493,699
829: 999,669,437,887,191,316,13
830: 802,718,183,416,605,484
831: 415,95,480,601
832: 361,105,118,494,970,509
833: 184,420,618
834: 423,96,612,629,764,173
835: 30,495,713,553,398,464
836: 639,97,496,837,34,533
837: 943,496,198,836,910,639
838: 149,314,974,440,277,98
839: 725,653,895,119
840: 656,810,405,445,457,696
841: 714,281,59,967,225,498
842: 1019,31,100,227,461,252
843: 241,499,312,931,998,660
844: 495,124,713,452,906,363,101
845: 107,500,60,888,566,362,716
846: 735,663,722,467,102
847: 501,675,121,306,555
848: 343,103,97,336,821,920
849: 489,923,422,185,715,80,337
850: 863,828,511,879,468,933
851: 502,126,912,184
852: 621,146,527,611,278,186,775
853: 900,424,762,104,471,743
854: 251,221,972,318,731,631
855: 245,122,503,302,927,754
856: 909,125,871,105,93,509
857: 319,916,868,508,64,728
858: 504,387,971,100,227,702
859: 762,743,932,106,462,469
860: 38,154,892,623,645,320
861: 123,68,273,587,505,701
862: 107,500,202,773,291,694
863: 63,850,506,879,933,317
