332: 113,908,141,939,275,602,818
333: 142,591,633,673,911,156,435
334: 115,42,814,885,409,778,915
335: 969,575,576,657,918
336: 343,491,157,692,848,920,934
337: 724,784,902,922,80,489,849,816
338: 35,158,133,633,673,720,539,924
339: 114,545,580,926,526,791
340: 928,652,759,51,681,483,800
341: 75,769,658,930,18,279,579,624
342: 83,462,438,932,599,795,160
343: 97,336,848,934,213,496,943
344: 346,788,935,433,190,537,884
345: 19,297,583,729,778,937,814
346: 397,344,779,935,433,940
347: 54,94,282,942,793,201,688
348: 395,430,877,189,650,944,1012
349: 947,89,161,481,405,99,946,215
350: 948,87,298,803,162,204,734,925
351: 382,564,93,825,402,950,949
352: 557,666,671,952,83,438,795
353: 488,115,885,951,303,954
354: 128,145,956,758,256,543,1023
355: 218,90,953,1007,295,958,813
356: 18,797,84,960,131,560,579,625
357: 187,427,643,171,195,736,962
358: 896,964,194
359: 164,966,590,817,460,234
360: 220,91,957,978,1001,968
361: 105,970,832,509,561,712,620
362: 1018,716,845,959,972,888
363: 452,43,717,101,974,98
364: 976,442
365: 108,5,864,474,945,978,968
366: 86,226,980,984,368,385,514,21
367: 1015,222,665,982,603,899
368: 366,925,980,984,21,74,763
369: 786,46,987,523,710,168
370: 499,120,898,989,207,843,593
371: 991,674,593,22,301,750
372: 381,752,891,993,556,963,172
373: 169,608,995,822,92
374: 472,1013,997,635,235
375: 170,68,191,76,742,808,999
376: 224,396,220,719,820,1001
377: 764,598,1003,388,525,772,865
378: 413,328,574,1005,746,938,867
379: 231,953,979,1007,88,210,406
380: 457,1009,600,655,696,684,726
381: 372,56,493,1011,699,921,993,172
382: 351,1013,564,635,225,967,949
383: 390,532,26,603,436,1015,782
384: 481,796,809,1017,893,423,96,834
385: 209,299,969,514,918,366,226,980
386: 408,117,826,981,517,492
387: 504,62,721,858,971,522
388: 59,525,77,268,772,377
389: 249,228,529,705,819,866
390: 383,532,767,768,26,603
391: 28,507,610,672,183,534,718,453
392: 394,37,536,771,540
393: 245,122,784,487,902,80,203,538
394: 392,37,641,777,540
395: 348,239,542,650,711,1012
396: 224,376,820,483,544,890
397: 177,346,474,550,779,935,940
398: 553,927,30,205,619,464,835
399: 417,822,752,556,23
400: 1002,106,294,859,178,710,622,559
401: 63,317,285,975,506,562,723,863
402: 60,107,825,351,564,773
403: 31,227,568,616,619,971
404: 55,422,577,692,230,570
405: 89,99,349,572,840,946,11,445
406: 210,546,574,938,231,379,979
407: 827,577,626,631,640,230,977
408: 386,117,581,963,981
409: 180,584,79,915,42,334
410: 241,64,312,588,983,728
411: 95,590,817,412
412: 806,985,592,411,590
413: 378,328,594,867,182,821,737
414: 46,597,668,1021
415: 601,831
416: 308,605,830,929,484
417: 44,399,608,822,986,23,997
418: 24,764,322,598,612,1003,870
419: 446,615,733,432,600,655,33
420: 618,833,315,110,872
421: 118,970,236,988,620,179,789
422: 55,185,489,849,404,577,626
423: 173,629,990,893,384,96,834
424: 186,471,632,768,900,853,121,775
425: 261,327,320,628,634,637,892
426: 519,630,910,639,837,533,836
427: 357,138,479,267,571,643,67,736
428: 296,755,646,238,992
429: 648,188,48
430: 348,189,650,119,431,895
431: 119,71,638,653,430,189
432: 240,1009,600,655,780,446,419
433: 344,346,190,658,940,279
