snap,conc_single
449,7.218704755658224
450,7.218801334408031
451,7.218896922516181
452,7.21899153014407
453,7.2190851673488
454,7.219177844084253
455,7.219269570202153
456,7.219360355453117
457,7.219450209487699
458,7.21953914185742
459,7.219627162015781
460,7.2197142793192794
461,7.219800503028405
462,7.2198858423086225
463,7.219970306231356
464,7.220053903774953
465,7.220136643825642
466,7.220218535178481
467,7.220299586538292
468,7.220379806520591
469,7.2204592036525055
470,7.220537786373685
471,7.220615563037195
472,7.220692541910412
473,7.2207687311759035
474,7.2208441389322955
475,7.220918773195139
476,7.2209926418977615
477,7.221065752892114
478,7.221138113949602
479,7.221209732761919
480,7.22128061694186
481,7.2213507740241365
482,7.221420211466173
483,7.221488936648904
484,7.221556956877561
485,7.2216242793824446
486,7.221690911319703
487,7.221756859772078
488,7.221822131749675
489,7.221886734190697
490,7.221950673962189
491,7.222013957860768
492,7.222076592613339
493,7.222138584877825
494,7.2221999412438525
495,7.222260668233479
496,7.222320772301861
497,7.222380259837964
498,7.222439137165221
499,7.222497410542218
500,7.2225550861633545
501,7.222612170159503
502,7.222668668598664
503,7.222724587486602
504,7.2227799327674935
505,7.222834710324554
506,7.222888925980666
507,7.222942585498993
508,7.222995694583602
509,7.223048258880055
510,7.223100283976022
511,7.223151775401872
512,7.223202738631254
513,7.223253179081686
514,7.223303102115131
515,7.223352513038559
516,7.22340141710452
517,7.223449819511698
518,7.223497725405462
519,7.223545139878416
520,7.223592067970938
521,7.223638514671717
522,7.223684484918283
523,7.223729983597529
524,7.223775015546235
525,7.2238195855515785
526,7.22386369835164
527,7.223907358635917
528,7.223950571045812
529,7.223993340175128
530,7.2240356705705615
531,7.22407756673218
532,7.224119033113901
533,7.224160074123969
534,7.224200694125417
535,7.22424089743654
536,7.224280688331344
537,7.2243200710400055
538,7.224359049749319
539,7.224397628603143
540,7.224435811702837
541,7.224473603107705
542,7.224511006835416
543,7.2245480268624425
544,7.224584667124472
545,7.224620931516832
546,7.224656823894904
547,7.224692348074527
548,7.22472750783241
549,7.224762306906529
550,7.224796748996525
551,7.224830837764098
552,7.224864576833397
553,7.224897969791402
554,7.224931020188305
555,7.224963731537892
556,7.224996107317911
557,7.225028150970443
558,7.225059865902271
559,7.225091255485238
560,7.2251223230566035
561,7.225153071919404
562,7.225183505342803
563,7.2252136265624305
564,7.225243438780738
565,7.225272945167331
566,7.225302148859307
567,7.225331052961592
568,7.225359660547266
569,7.2253879746578935
570,7.225415998303846
571,7.225443734464618
572,7.225471186089147
573,7.225498356096127
574,7.225525247374318
575,7.225551862782851
576,7.225578205151535
577,7.225604277281156
578,7.225630081943775
579,7.225655621883021
580,7.225680899814384
581,7.225705918425505
582,7.225730680376458
583,7.225755188300035
584,7.225779444802025
585,7.225803452461492
586,7.2258272138310495
587,7.225850731437126
588,7.225874007780243
589,7.225897045335272
590,7.225919846551703
591,7.2259424138539
592,7.225964749641366
593,7.225986856288992
594,7.226008736147307
595,7.226030391542734
596,7.226051824777837
597,7.226073038131561
598,7.226094033859476
599,7.22611481419402
600,7.226135381344731
601,7.226155737498485
602,7.226175884819729
603,7.2261958254507075
604,7.226215561511693
605,7.226235095101213
606,7.226254428296268
607,7.226273563152556
608,7.226292501704688
609,7.226311245966411
610,7.22632979793081
611,7.226348159570534
612,7.226366332837993
613,7.226384319665574
614,7.226402121965843
615,7.226419741631748
616,7.226437180536823
617,7.226454440535379
618,7.226471523462714
619,7.226488431135298
620,7.226505165350968
621,7.226521727889122
622,7.226538120510906
623,7.226554344959399
624,7.226570402959805
625,7.226586296219629
626,7.226602026428862
627,7.226617595260162
628,7.2266330043690274
629,7.226648255393976
630,7.226663349956721
631,7.2266782896623365
632,7.226693076099436
633,7.226707710840338
634,7.226722195441232
635,7.226736531442343
636,7.226750720368099
637,7.226764763727293
638,7.2267786630132385
639,7.226792419703931
640,7.226806035262206
641,7.226819511135897
642,7.226832848757979
643,7.226846049546735
644,7.226859114905895
645,7.226872046224792
646,7.22688484487851
647,7.226897512228022
648,7.226910049620344
649,7.226922458388673
650,7.226934739852533
651,7.2269468953179095
652,7.226958926077392
653,7.226970833410316
654,7.226982618582883
655,7.226994282848317
656,7.2270058274469795
657,7.22701725360651
658,7.227028562541958
659,7.227039755455903
660,7.227050833538594
661,7.2270617979680685
662,7.22707264991028
663,7.227083390519219
664,7.2270940209370425
665,7.227104542294187
666,7.227114955709498
667,7.227125262290338
668,7.227135463132714
669,7.227145559321389
670,7.227155551929998
671,7.227165442021162
672,7.227175230646603
673,7.227184918847252
674,7.227194507653364
675,7.227203998084625
676,7.227213391150259
677,7.227222687849139
678,7.227231889169891
679,7.227240996090999
680,7.22725000958091
681,7.227258930598135
682,7.227267760091355
683,7.227276498999514
684,7.227285148251931
685,7.227293708768386
686,7.227302181459225
687,7.227310567225458
688,7.227318866958847
689,7.227327081542013
690,7.227335211848515
691,7.2273432587429545
692,7.227351223081064
693,7.227359105709796
694,7.227366907467418
695,7.227374629183591
696,7.227382271679471
697,7.22738983576779
698,7.22739732225294
699,7.2274047319310615
700,7.227412065590128
701,7.2274193240100315
702,7.227426507962661
703,7.227433618211986
704,7.227440655514143
705,7.227447620617509
706,7.227454514262781
707,7.227461337183064
708,7.227468090103935
709,7.227474773743534
710,7.227481388812629
711,7.2274879360147
712,7.227494416046007
713,7.22750082959567
714,7.22750717734574
715,7.227513459971266
716,7.227519678140376
717,7.227525832514345
718,7.227531923747662
719,7.227537952488102
720,7.227543919376792
721,7.227549825048288
722,7.227555670130631
723,7.227561455245421
724,7.22756718100788
725,7.227572848026922
726,7.22757845690521
727,7.227584008239225
728,7.227589502619331
729,7.227594940629835
730,7.2276003228490495
731,7.227605649849353
732,7.227610922197251
733,7.227616140453442
734,7.2276213051728675
735,7.227626416904778
736,7.227631476192792
737,7.227636483574944
738,7.227641439583755
739,7.227646344746281
740,7.227651199584171
741,7.2276560046137215
742,7.227660760345935
