snap,conc_mean,conc_std
137,6.662530745961207,3.306563345901614
138,6.667511229098284,3.301638622059022
139,6.672433247067628,3.2967596718561496
140,6.677297675288235,3.291926204729733
141,6.682105369817436,3.287137926537608
142,6.68685716794572,3.2823945398251757
143,6.691553888769943,3.277695744081796
144,6.696196333745781,3.2730412359873973
145,6.700785287220246,3.268430709649583
146,6.705321516945068,3.2638638568315197
147,6.7098057745716675,3.2593403671708776
148,6.71423879612847,3.254859928390093
149,6.718621302481219,3.250422226498226
150,6.722953999776976,3.2460269459846667
151,6.727237579872427,3.241673770004948
152,6.731472720747101,3.237362380558919
153,6.735660086902091,3.2330924586615186
154,6.739800329744815,3.2288636845063934
155,6.743894087960388,3.224675737622593
156,6.7479419878700675,3.220528297024572
157,6.7519446437773105,3.216421041355719
158,6.755902658301877,3.212353649025636
159,6.759816622702464,3.2083257983413773
160,6.763687117188275,3.2043371676328514
161,6.767514711219964,3.2003874353725927
162,6.771299963800335,3.1964762802901
163,6.775043423755197,3.192603381480922
164,6.778745630004743,3.1887684185106853
165,6.782407111825777,3.184971071514244
166,6.786028389105174,3.1812110212901175
167,6.789609972584874,3.1774879493903962
168,6.793152364098716,3.17380153820627
169,6.796656056801433,3.170151471049348
170,6.8001215353900895,3.166537432228919
171,6.803549276318228,3.1629591071253014
172,6.806939748003019,3.159416182259434
173,6.810293411025642,3.1559083453588435
174,6.813610718325165,3.1524352854201236
175,6.816892115386147,3.1489966927680633
176,6.8201380404202006,3.145592259111548
177,6.823348924541733,3.1422216775963596
178,6.826525191938066,3.138884642854989
179,6.8296672600341575,3.135580851053585
180,6.832775539652099,3.1323099999361474
181,6.8358504351655975,3.1290717888660673
182,6.838892344649592,3.1258659188651308
183,6.84190166002522,3.1226920926500705
184,6.844878767200262,3.1195500146667814
185,6.847824046205251,3.1164393911222756
186,6.850737871325392,3.113359930014484
187,6.853620611228427,3.1103113411599757
188,6.85647262908862,3.1072933362196955
189,6.85929428270698,3.1043056287227917
190,6.862085924627839,3.1013479340886105
191,6.864847902251952,3.098419969646944
192,6.867580557946211,3.09552145465659
193,6.870284229150096,3.09265211032231
194,6.872959248478995,3.0898116598102408
195,6.875605943824473,3.0869998282618294
196,6.878224638451625,3.084216342806354
197,6.8808156510936,3.081460932572097
198,6.883379296043381,3.0787333286962175
199,6.885915883242951,3.0760332643333927
200,6.8884257183699,3.073360474663269
201,6.890909102921579,3.0707146968967862
202,6.89336633429688,3.068095670281424
203,6.8957977058757285,3.0655031361054053
204,6.898203507096349,3.0629368377009265
205,6.900584023530412,3.0603965204464374
206,6.902939536956097,3.057881931768029
207,6.9052703254291705,3.0553928211399612
208,6.907576663352124,3.0529289400843793
209,6.909858821541458,3.0504900421702446
210,6.912117067293158,3.048075883011534
211,6.914351664446429,3.045686220264723
212,6.916562873445759,3.043320813625609
213,6.918750951401318,3.0409794248254896
214,6.920916152147834,3.038661817626729
215,6.9230587263019,3.0363677578177635
216,6.925178921317841,3.0340970132075404
217,6.927276981542141,3.0318493536194526
218,6.929353148266492,3.029624550884772
219,6.931407659779517,3.02742237883562
220,6.9334407514172005,3.0252426132974923
221,6.935452655612064,3.0230850320813705
222,6.937443601941147,3.0209494149754326
223,6.939413817172806,3.0188355437363956
224,6.941363525312389,3.0167432020805003
225,6.943292947646804,3.0146721756741672
226,6.945202302788046,3.01262225212434
227,6.947091806715665,3.0105932209685307
228,6.948961672818273,3.008584873664593
229,6.9508121119340585,3.006597003580232
230,6.952643332390379,3.0046294059822753
231,6.954455540042448,3.0026818780257134
232,6.956248938311139,3.000754218742528
233,6.9580237282199455,2.9988462290303235
234,6.959780108431105,2.996957711640775
235,6.961518275280937,2.995088471167904
236,6.963238422814393,2.993238314036197
