metric,run_id,dx_um,uptake_rate_per_min,dt_diffusion_min,total_volume_um3,nuclear_volume_um3,point_count,mean_absolute_error_uM,max_absolute_error_uM,rmse_uM,mean_relative_error_percent,max_relative_error_percent,rmse_percent
average,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,101,0.858396307194557,0.8990838092764868,0.8642894793683209,8.755066271547225,9.142519866594059,8.816468314194058
average,dx_40um__uptake_12044__dtdiff_0p1min__volume_1000um3,40.0,12044,0.1,1000.0,100.0,101,0.8701382551078353,0.9109635212443674,0.8760097672899237,8.874769146092396,9.263050744491915,8.935946072269145
average,dx_40um__uptake_12044__dtdiff_0p01min__volume_523um3,40.0,12044,0.01,523.0,52.300000000000004,101,0.9334957515116235,0.9842145103102542,0.9390524459962725,9.520139138706758,9.98699501080901,9.577618203900949
average,dx_40um__uptake_12044__dtdiff_0p005min__volume_523um3,40.0,12044,0.005,523.0,52.300000000000004,101,0.9384235119273316,0.9898898526719684,0.9439745333475542,9.570346181275209,10.042831378273283,9.627735760285672
average,dx_40um__uptake_12044__dtdiff_0p01min__volume_1000um3,40.0,12044,0.01,1000.0,100.0,101,0.9491149075928133,1.0002341625812985,0.954719656863735,9.679391378573294,10.148872843055786,9.737351302384953
average,dx_40um__uptake_12044__dtdiff_0p005min__volume_1000um3,40.0,12044,0.005,1000.0,100.0,101,0.9543365836178931,1.0062033083726067,0.9599381135807741,9.732595478833312,10.207686409156732,9.790490550901469
center,dx_10um__uptake_12044__dtdiff_0p1min__volume_1um3,10.0,12044,0.1,1.0,0.1,101,0.1894636376758821,0.7685434211409046,0.21363029314681561,2.586023120190438,8.58963277242575,2.832619819417832
center,dx_10um__uptake_12044__dtdiff_0p01min__volume_1um3,10.0,12044,0.01,1.0,0.1,101,0.47613736547424473,0.5384555559598105,0.4912167302901408,6.613446900266079,7.5420771786749246,6.841389363125482
center,dx_10um__uptake_12044__dtdiff_0p005min__volume_1um3,10.0,12044,0.005,1.0,0.1,101,0.5039956103043045,0.5683891218411379,0.5193998921320924,7.0018299988476365,7.961352756038958,7.235769389005864
center,dx_5um__uptake_12044__dtdiff_0p1min__volume_1um3,5.0,12044,0.1,1.0,0.1,101,0.5259415929717036,1.9672460791935586,0.5847689778938565,7.141781696483333,21.986944300664298,7.70494870885706
center,dx_3um__uptake_12044__dtdiff_0p1min__volume_1um3,3.0,12044,0.1,1.0,0.1,101,0.5873174614862505,2.2075831391367604,0.6494425479425135,7.979258142558533,24.67307371083082,8.5672297644965
center,dx_2um__uptake_12044__dtdiff_0p1min__volume_1um3,2.0,12044,0.1,1.0,0.1,101,0.5879500298022732,2.2586757406076297,0.6523119195794379,7.985496947243734,25.24411065155587,8.595410051902324
center,dx_5um__uptake_12044__dtdiff_0p01min__volume_1um3,5.0,12044,0.01,1.0,0.1,101,0.6848478928231708,1.956943432870399,0.7219635583038535,9.34982950525593,21.871796677165353,9.682071414219799
center,dx_5um__uptake_12044__dtdiff_0p005min__volume_1um3,5.0,12044,0.005,1.0,0.1,101,0.7377267081063649,1.9539967484925418,0.7704589261699055,10.083518818111173,21.838863031510744,10.371719807122084
center,dx_2um__uptake_12044__dtdiff_0p01min__volume_1um3,2.0,12044,0.01,1.0,0.1,101,0.8420904899649941,2.4727726250540174,0.8880208775315488,11.496289444918327,27.63696649356532,11.90458854535381
center,dx_5um__uptake_12044__dtdiff_0p1min__volume_523um3,5.0,12044,0.1,523.0,52.300000000000004,101,0.9142309797869201,2.2800093336134717,0.9464132500961892,12.51878451078321,25.482545754369635,12.799480272601505
center,dx_3um__uptake_12044__dtdiff_0p01min__volume_1um3,3.0,12044,0.01,1.0,0.1,101,0.9510302011555583,2.475684588007679,0.98885029578998,13.006890202131476,27.66951207489595,13.33445290056821
center,dx_3um__uptake_12044__dtdiff_0p005min__volume_523um3,3.0,12044,0.005,523.0,52.300000000000004,101,1.0579291972576317,2.3189034553745103,1.0841813385670753,14.526860549608138,25.917246271924494,14.77671749826005
center,dx_5um__uptake_12044__dtdiff_0p1min__volume_1000um3,5.0,12044,0.1,1000.0,100.0,101,1.0700430742301221,2.5672401066136192,1.2183151070692615,14.734453178480804,35.95899941222768,16.75612570518557
center,dx_2um__uptake_12044__dtdiff_0p005min__volume_1um3,2.0,12044,0.005,1.0,0.1,101,1.1042154122189543,2.6986923426299603,1.1405335964439456,15.11650495362268,30.16196034120858,15.426009090375356
center,dx_3um__uptake_12044__dtdiff_0p005min__volume_1000um3,3.0,12044,0.005,1000.0,100.0,101,1.1137738824481902,2.3198600128414197,1.1413760197548182,15.332826547068297,25.927937245447207,15.640411758736755
center,dx_3um__uptake_12044__dtdiff_0p005min__volume_1um3,3.0,12044,0.005,1.0,0.1,101,1.1908863839216797,2.6576869175522635,1.221593129212997,16.32124429869613,29.70366282228407,16.57939720291093
center,dx_5um__uptake_12044__dtdiff_0p01min__volume_1000um3,5.0,12044,0.01,1000.0,100.0,101,1.2471339592369677,3.82178501058109,1.3685954475520226,16.978286841780356,42.71421610417272,18.201075107023467
center,dx_20um__uptake_12044__dtdiff_0p1min__volume_1um3,20.0,12044,0.1,1.0,0.1,101,1.4067171645753276,1.478732485362448,1.4200213933599188,19.476262115788114,20.712414251789784,19.706712165758137
center,dx_5um__uptake_12044__dtdiff_0p01min__volume_523um3,5.0,12044,0.01,523.0,52.300000000000004,101,1.5126793531434484,3.819050983137849,1.6331027926503878,20.618624800386375,42.68365922074731,21.852493325107044
center,dx_10um__uptake_12044__dtdiff_0p1min__volume_523um3,10.0,12044,0.1,523.0,52.300000000000004,101,1.5571871663150985,2.275387234325928,1.572394733249767,21.41985622265995,26.458582401828057,21.558910965710755
center,dx_10um__uptake_12044__dtdiff_0p1min__volume_1000um3,10.0,12044,0.1,1000.0,100.0,101,1.5597105232542587,2.2779053479953726,1.574917820699838,21.45468504052729,26.48805296520044,21.59379292759794
center,dx_20um__uptake_12044__dtdiff_0p01min__volume_1um3,20.0,12044,0.01,1.0,0.1,101,1.5884560483196284,1.6709356133090552,1.6034347586089297,21.992196933159267,23.404578551909363,22.251563525085572
center,dx_20um__uptake_12044__dtdiff_0p005min__volume_1um3,20.0,12044,0.005,1.0,0.1,101,1.5993647129295427,1.6824402731750574,1.6144401294196034,22.143193601770015,23.56572283143885,22.40424151490867
center,dx_3um__uptake_12044__dtdiff_0p01min__volume_523um3,3.0,12044,0.01,523.0,52.300000000000004,101,1.6157774326546217,1.882962396065392,1.6926910959519514,22.435161913479686,26.373549508358938,23.564488801161314
center,dx_3um__uptake_12044__dtdiff_0p01min__volume_1000um3,3.0,12044,0.01,1000.0,100.0,101,1.7663378366529139,1.958593676483492,1.7971173523302697,24.48034750555327,27.43315103798533,24.97337100254678
center,dx_2um__uptake_12044__dtdiff_0p005min__volume_523um3,2.0,12044,0.005,523.0,52.300000000000004,101,1.9779126863576675,2.259281803076174,2.0162215108355723,27.449661874907925,31.64546737158779,28.055912527696098
center,dx_5um__uptake_12044__dtdiff_0p005min__volume_1000um3,5.0,12044,0.005,1000.0,100.0,101,2.064955802106475,4.471815643331506,2.199732469168754,28.266581673239802,49.97928958286422,29.82665671959096
center,dx_2um__uptake_12044__dtdiff_0p005min__volume_1000um3,2.0,12044,0.005,1000.0,100.0,101,2.094555614943115,2.2950962201656786,2.1337353468248206,29.067907696902093,32.14711526955926,29.692260705560248
center,dx_40um__uptake_12044__dtdiff_0p1min__volume_1um3,40.0,12044,0.1,1.0,0.1,101,2.3022570466916266,2.411073527887293,2.3230576006472043,31.869710568497087,33.771594386042985,32.22943721597147
center,dx_2um__uptake_12044__dtdiff_0p01min__volume_523um3,2.0,12044,0.01,523.0,52.300000000000004,101,2.34000688783116,2.547382521561026,2.3712067971044712,32.43502513344213,35.680856792300965,32.95243438298417
center,dx_40um__uptake_12044__dtdiff_0p01min__volume_1um3,40.0,12044,0.01,1.0,0.1,101,2.349576399249566,2.464738586617292,2.3713741469162506,32.5278512191992,34.52327390770435,32.90432370580754
center,dx_40um__uptake_12044__dtdiff_0p005min__volume_1um3,40.0,12044,0.005,1.0,0.1,101,2.35224474701221,2.4677454396541254,2.3740983334753323,32.56495794395165,34.56539050844832,32.94236365665565
center,dx_40um__uptake_12044__dtdiff_0p1min__volume_523um3,40.0,12044,0.1,523.0,52.300000000000004,101,2.378310023234497,2.4977177544762386,2.391438169057773,32.849846558747345,34.15440784067465,33.06923884060834
center,dx_2um__uptake_12044__dtdiff_0p01min__volume_1000um3,2.0,12044,0.01,1000.0,100.0,101,2.3965528630440343,2.5665403483629614,2.4283430196642106,33.21903112149267,35.94919798911214,33.74730639954444
