time_min,average_uM,center_lower_voxel_uM,center_upper_voxel_uM,center_corner_mean_uM,center_trilinear_uM,center_spherical_average_uM,center_gaussian_uM
4.8,9.960123694550909,9.596727324851281,9.562222393186827,9.577279118417778,9.57727911841778,9.577279118417778,9.51246027862861
4.9,9.960041228625286,9.59649960427451,9.561995436658028,9.577051833572607,9.577051833572607,9.577051833572607,9.512235353618129
5.0,9.959965052585293,9.596289254764077,9.561785800421756,9.57684189031399,9.57684189031399,9.57684189031399,9.512027590097448
5.1,9.959894686762977,9.596094950633457,9.561592161578407,9.576647964660669,9.576647964660667,9.576647964660669,9.511835677846634
5.2,9.959829688050437,9.595915467539221,9.561413298515859,9.576468833922908,9.576468833922908,9.576468833922908,9.51165840688154
5.3,9.959769647118117,9.595749674686832,9.561248083096851,9.576303368900906,9.576303368900906,9.576303368900906,9.511494659734264
5.4,9.95971418584357,9.595596527648157,9.561095473462757,9.576150526697099,9.576150526697099,9.576150526697099,9.511343404340874
5.5,9.95966295493495,9.59545506173956,9.560954507401782,9.576009344090874,9.576009344090874,9.576009344090874,9.511203687485478
5.6,9.95961563173487,9.59532438591449,9.560824296234788,9.575878931429198,9.575878931429196,9.575878931429198,9.511074628754736
5.7,9.959571918190989,9.595203677128852,9.56070401917648,9.575758466991207,9.575758466991207,9.575758466991207,9.510955414961272
5.8,9.959531538980837,9.595092175141264,9.560592918133533,9.575647191788619,9.575647191788619,9.575647191788619,9.510845294998326
5.9,9.959494239779298,9.594989177713641,9.560490292904746,9.575544404767228,9.575544404767228,9.575544404767228,9.510743575091235
6.0,9.959459785657874,9.594894036180598,9.560395496751275,9.575449458377765,9.575449458377765,9.575449458377765,9.510649614414405
6.1,9.959427959605879,9.594806151358755,9.560307932307875,9.575361754487119,9.575361754487119,9.575361754487119,9.510562821045122
6.2,9.959398561164203,9.594724969769507,9.560227047808336,9.575280740603333,9.575280740603333,9.575280740603333,9.510482648227757
6.3,9.959371405163202,9.594649980150903,9.560152333600676,9.575205906389956,9.575205906389954,9.575205906389956,9.510408590924412
6.4,9.959346320556715,9.594580710236336,9.560083318929546,9.575136780447346,9.575136780447346,9.575136780447346,9.510340182629639
6.5,9.959323149345007,9.594516723779414,9.560019568965165,9.575072927340276,9.575072927340274,9.575072927340276,9.51027699242896
6.6,9.959301745579745,9.59445761780613,9.559960682059707,9.575013944852849,9.57501394485285,9.575013944852849,9.510218622282302
6.7,9.959281974444883,9.59440302007687,9.559906287213655,9.574959461453288,9.574959461453288,9.574959461453288,9.510164704515107
6.8,9.959263711407578,9.594352586742144,9.55985604173593,9.5749091339524,9.5749091339524,9.5749091339524,9.510114899501131
6.9,9.959246841433924,9.59430600017724,9.559809629082881,9.574862645340923,9.574862645340922,9.574862645340923,9.510068893522249
7.0,9.9592312582644,9.594262966982086,9.55976675686249,9.57481970279202,9.57481970279202,9.57481970279202,9.510026396791696
7.1,9.959216863744631,9.59422321613373,9.559727154991009,9.574780035816278,9.574780035816277,9.574780035816278,9.509987141628208
7.2,9.959203567207172,9.594186497279718,9.559690573990451,9.574743394557537,9.574743394557537,9.574743394557537,9.509950880769571
7.3,9.959191284900442,9.594152579161657,9.559656783416091,9.574709548218802,9.5747095482188,9.574709548218802,9.50991738581486
7.4,9.959179939461212,9.594121248159029,9.559625570404055,9.574678283608279,9.574678283608279,9.574678283608279,9.509886445785579
7.5,9.959169459427324,9.594092306944034,9.559596738329779,9.57464940379635,9.57464940379635,9.57464940379635,9.509857865796574
7.6,9.959159778787578,9.594065573239043,9.559570105568916,9.574622726875042,9.574622726875042,9.574622726875042,9.50983146582838
7.7,9.959150836565945,9.594040878668794,9.559545504352814,9.574598084812125,9.574598084812125,9.574598084812125,9.509807079593237
7.8,9.95914257643752,9.594018067700118,9.559522779711344,9.574575322392663,9.574575322392663,9.574575322392663,9.509784553487597
7.9,9.959134946373718,9.593996996662534,9.559501788496412,9.57455429624127,9.57455429624127,9.57455429624127,9.509763745624559
8.0,9.959127898314588,9.593977532843533,9.559482398480029,9.574534873919024,9.574534873919024,9.574534873919024,9.509744524940134
