id,total_volume,current_phase,dt,elapsed_time_in_phase
0.0,519.6168817491205,4.0,1450.0,353.99999999967804
2.0,581.1624302453179,10.0,1450.0,59.99999999994543
0.0,519.834664408444,4.0,1460.0,365.9999999996671
2.0,597.5813725726596,10.0,1460.0,71.99999999993452
0.0,519.9390280356051,4.0,1470.0,371.99999999966167
2.0,605.9852080689585,10.0,1470.0,77.99999999992906
0.0,520.1391183004362,4.0,1480.0,383.99999999965075
2.0,623.0310244429187,10.0,1480.0,89.99999999991815
0.0,520.328223337912,4.0,1490.0,395.99999999963984
2.0,640.2259887050345,10.0,1490.0,101.99999999990723
0.0,520.4188471006348,4.0,1500.0,401.9999999996344
2.0,648.8253460303574,10.0,1500.0,107.99999999990177
0.0,520.5925999526378,4.0,1510.0,413.99999999962347
2.0,665.9381963859349,10.0,1510.0,119.99999999989086
0.0,520.7568201725944,4.0,1520.0,425.99999999961256
2.0,682.838184741408,10.0,1520.0,131.99999999987995
0.0,520.8355209237419,4.0,1530.0,431.9999999996071
2.0,691.1773638617803,10.0,1530.0,137.9999999998745
0.0,520.9864183669594,4.0,1540.0,443.9999999995962
2.0,707.5840678119108,10.0,1540.0,149.99999999986358
0.0,521.1290428888169,10.0,1550.0,0.0
2.0,723.5754476651081,10.0,1550.0,161.99999999985266
0.0,524.9280462284122,10.0,1560.0,5.999999999994543
2.0,731.3992475156685,10.0,1560.0,167.9999999998472
0.0,534.6330075100047,10.0,1570.0,17.99999999998363
2.0,746.6783913464494,10.0,1570.0,179.9999999998363
0.0,546.6229374155256,10.0,1580.0,29.999999999972715
2.0,761.4419402921458,10.0,1580.0,191.99999999982538
0.0,553.3028604385405,10.0,1590.0,35.99999999996726
2.0,768.6236147088251,10.0,1590.0,197.99999999981992
0.0,567.739398452032,10.0,1600.0,47.999999999956344
2.0,782.5779937413733,10.0,1600.0,209.999999999809
0.0,583.2787172969927,10.0,1610.0,59.99999999994543
2.0,795.9806665337871,10.0,1610.0,221.9999999997981
0.0,591.3534861445501,10.0,1620.0,65.99999999993997
2.0,802.4741491259576,10.0,1620.0,227.99999999979264
0.0,607.9298253030713,10.0,1630.0,77.99999999992906
2.0,815.0463226686845,10.0,1630.0,239.99999999978172
0.0,624.8690403438983,10.0,1640.0,89.99999999991815
2.0,827.0697796809594,10.0,1640.0,251.9999999997708
0.0,633.4081770922179,10.0,1650.0,95.99999999991269
2.0,832.8782021349452,10.0,1650.0,257.99999999976535
0.0,650.5143672448651,10.0,1660.0,107.99999999990177
2.0,844.0949738954179,10.0,1660.0,269.99999999975444
0.0,667.5346920500109,10.0,1670.0,119.99999999989086
2.0,854.7887500390145,10.0,1670.0,281.9999999997435
0.0,675.9735234634693,10.0,1680.0,125.9999999998854
2.0,859.9438728081527,10.0,1680.0,287.99999999973807
0.0,692.6445316365723,10.0,1690.0,137.9999999998745
2.0,869.8801273784752,10.0,1690.0,299.99999999972715
0.0,708.9709188741517,10.0,1700.0,149.99999999986358
2.0,879.3312689777986,10.0,1700.0,311.99999999971624
0.0,716.9835005252004,10.0,1710.0,155.99999999985812
2.0,883.8801974326224,10.0,1710.0,317.9999999997108
0.0,732.6738297254244,10.0,1720.0,167.9999999998472
2.0,892.635645152808,10.0,1720.0,329.99999999969987
0.0,747.8832473193866,10.0,1730.0,179.9999999998363
2.0,900.9493110974965,10.0,1730.0,341.99999999968895
0.0,755.2975550041706,10.0,1740.0,185.99999999983083
2.0,904.9460556587394,10.0,1740.0,347.9999999996835
0.0,769.731000295241,10.0,1750.0,197.99999999981992
2.0,912.6305475156244,10.0,1750.0,359.9999999996726
0.0,783.624840639207,10.0,1760.0,209.999999999809
2.0,919.9178739690448,10.0,1760.0,371.99999999966167
0.0,790.3664105532516,10.0,1770.0,215.99999999980355
2.0,923.4181134457889,10.0,1770.0,377.9999999996562
0.0,803.4363644040739,10.0,1780.0,227.99999999979264
2.0,930.1426121360455,10.0,1780.0,389.9999999996453
0.0,815.9559705629521,10.0,1790.0,239.99999999978172
2.0,936.5133572979453,10.0,1790.0,401.9999999996344
0.0,822.0106550572302,10.0,1800.0,245.99999999977626
2.0,939.5713051012776,10.0,1800.0,407.9999999996289
0.0,833.7143581867731,10.0,1810.0,257.99999999976535
2.0,945.4425596294963,10.0,1810.0,419.999999999618
0.0,844.8854793851436,10.0,1820.0,269.99999999975444
2.0,951.0008661474715,12.0,1820.0,5.999999999994543
0.0,850.2750190543882,10.0,1830.0,275.999999999749
2.0,953.6675035122258,12.0,1830.0,11.999999999989086
0.0,860.6705531440142,10.0,1840.0,287.99999999973807
2.0,958.7851227283902,12.0,1840.0,23.999999999978172
0.0,870.5671596538004,10.0,1850.0,299.99999999972715
2.0,963.6272886546251,12.0,1850.0,35.99999999996726
0.0,875.3333240559814,10.0,1860.0,305.9999999997217
2.0,965.9494745054435,12.0,1860.0,41.9999999999618
0.0,884.5117938949812,12.0,1870.0,0.0
