id,x,y,z,radius,nuclear_radius,ms,mbx,dt
1.0,4.196,0.0,0.0,5.0,3.15,0.0,0.0,1.5
0.0,-4.221,0.0,0.0,5.0,3.15,0.0,0.0,1.6
1.0,4.221,0.0,0.0,5.0,3.15,0.0,0.0,1.6
0.0,-4.244,0.0,0.0,5.0,3.15,0.0,0.0,1.7
1.0,4.244,0.0,0.0,5.0,3.15,0.0,0.0,1.7
0.0,-4.265,0.0,0.0,5.0,3.15,0.0,0.0,1.8
1.0,4.265,0.0,0.0,5.0,3.15,0.0,0.0,1.8
0.0,-4.286,0.0,0.0,5.0,3.15,0.0,0.0,1.9
1.0,4.286,0.0,0.0,5.0,3.15,0.0,0.0,1.9
0.0,-4.305,0.0,0.0,5.0,3.15,0.0,0.0,2.0
1.0,4.305,0.0,0.0,5.0,3.15,0.0,0.0,2.0
0.0,-4.324,0.0,0.0,5.0,3.15,0.0,0.0,2.1
1.0,4.324,0.0,0.0,5.0,3.15,0.0,0.0,2.1
0.0,-4.341,0.0,0.0,5.0,3.15,0.0,0.0,2.2
1.0,4.341,0.0,0.0,5.0,3.15,0.0,0.0,2.2
0.0,-4.358,0.0,0.0,5.0,3.15,0.0,0.0,2.3
1.0,4.358,0.0,0.0,5.0,3.15,0.0,0.0,2.3
0.0,-4.373,0.0,0.0,5.0,3.15,0.0,0.0,2.4
1.0,4.373,0.0,0.0,5.0,3.15,0.0,0.0,2.4
0.0,-4.388,0.0,0.0,5.0,3.15,0.0,0.0,2.5
1.0,4.388,0.0,0.0,5.0,3.15,0.0,0.0,2.5
0.0,-4.403,0.0,0.0,5.0,3.15,0.0,0.0,2.6
1.0,4.403,0.0,0.0,5.0,3.15,0.0,0.0,2.6
0.0,-4.416,0.0,0.0,5.0,3.15,0.0,0.0,2.7
1.0,4.416,0.0,0.0,5.0,3.15,0.0,0.0,2.7
0.0,-4.429,0.0,0.0,5.0,3.15,0.0,0.0,2.8
1.0,4.429,0.0,0.0,5.0,3.15,0.0,0.0,2.8
0.0,-4.442,0.0,0.0,5.0,3.15,0.0,0.0,2.9
1.0,4.442,0.0,0.0,5.0,3.15,0.0,0.0,2.9
0.0,-4.453,0.0,0.0,5.0,3.15,0.0,0.0,3.0
1.0,4.453,0.0,0.0,5.0,3.15,0.0,0.0,3.0
0.0,-4.465,0.0,0.0,5.0,3.15,0.0,0.0,3.1
1.0,4.465,0.0,0.0,5.0,3.15,0.0,0.0,3.1
0.0,-4.476,0.0,0.0,5.0,3.15,0.0,0.0,3.2
1.0,4.476,0.0,0.0,5.0,3.15,0.0,0.0,3.2
0.0,-4.486,0.0,0.0,5.0,3.15,0.0,0.0,3.3
1.0,4.486,0.0,0.0,5.0,3.15,0.0,0.0,3.3
0.0,-4.496,0.0,0.0,5.0,3.15,0.0,0.0,3.4
1.0,4.496,0.0,0.0,5.0,3.15,0.0,0.0,3.4
0.0,-4.506,0.0,0.0,5.0,3.15,0.0,0.0,3.5
1.0,4.506,0.0,0.0,5.0,3.15,0.0,0.0,3.5
0.0,-4.515,0.0,0.0,5.0,3.15,0.0,0.0,3.6
