id,x,y,z,total_volume,current_phase,dt
3.0,-0.8245182594820645,7.198408571266533,2.545948254506229,954.1000850203354,12.0,1830.0
2.0,-3.70501994728947,-0.8999238913896226,-5.343963187610875,972.9806970070078,12.0,1830.0
2.0,-3.719193633000693,-0.9050742040527361,-5.36526879624484,982.7528729558182,13.0,1860.0
0.0,3.762182316254463,-3.4458268681234805,3.225464388761743,947.0718208502718,13.0,1860.0
3.0,-0.8295695935136109,7.226383113865886,2.5534046942227286,966.3351628174605,12.0,1860.0
3.0,-0.8339260414905779,7.250530564743035,2.559846103862955,976.9778253527297,12.0,1890.0
0.0,3.7787764421422536,-3.4655241670537023,3.2374200992459765,960.2143347450516,13.0,1890.0
2.0,-3.7314313109115105,-0.9095243559996715,-5.383665916369307,991.2464320067755,13.0,1890.0
2.0,-3.741999984433963,-0.9133718476961162,-5.399556144165906,998.6246969423889,13.0,1920.0
3.0,-0.8376835125905301,7.271380436942343,2.565413231765286,986.2285576009212,12.0,1920.0
0.0,3.793102586764659,-3.482526547556556,3.2477431991402295,971.6531094895406,13.0,1920.0
0.0,5.269704583462108,-2.692793271925464,0.6258572017040162,490.80009133459373,4.0,1950.0
3.0,-0.7804183199132899,7.226940724239296,2.581866299749906,994.265096053367,12.0,1950.0
4.0,0.4790839173108792,-4.856712608858517,8.302660355223882,490.80009133459373,4.0,1950.0
2.0,-3.605096002418853,-0.9737396610749401,-5.333104312039971,1005.0316365617339,13.0,1950.0
0.0,5.116779111025018,-2.4568405657757206,0.6842965374758536,495.1222057052216,4.0,1980.0
4.0,0.44484548732103013,-4.85607275180478,8.348540347035513,495.1222057052216,4.0,1980.0
2.0,-5.950438664439562,-3.1294132924134916,-5.42173442079076,505.2968095219278,4.0,1980.0
3.0,-0.696137133022723,7.279777175239344,3.1584519602298107,1001.2441160653023,12.0,1980.0
5.0,1.2438498320332132,2.8290774951988005,-5.896887779533531,505.2968095219278,4.0,1980.0
3.0,-0.5418797087894095,7.022489564959049,3.315103647585979,1007.30314242719,13.0,2010.0
0.0,5.016778919883728,-2.1610837366343936,0.771873955940351,498.87642492760756,4.0,2010.0
2.0,-5.9807841604961,-3.1544001262249273,-5.419202755714877,507.7106045563236,4.0,2010.0
5.0,1.2750800312560417,2.8078801948026673,-6.2139493718987335,507.7106045563236,4.0,2010.0
4.0,0.3897035510627101,-4.848357836458229,8.41884116850416,498.87642492760756,4.0,2010.0
4.0,0.3316360760783562,-4.821879478477753,8.482726592813867,521.1232582461324,10.0,2040.0
3.0,-3.5154252922837617,7.421505297824043,3.126276046739049,506.2812530051219,4.0,2040.0
0.0,4.948659622926785,-2.4381688401365667,0.6056844052588027,502.1362558097281,4.0,2040.0
5.0,1.2632176944270783,2.8225533875976083,-6.319893089169231,509.805455732866,4.0,2040.0
6.0,5.720390693091764,6.048910694996894,3.981166632362314,506.2812530051219,4.0,2040.0
2.0,-5.98400813351397,-3.1570549928484724,-5.418817054209992,509.805455732866,4.0,2040.0
4.0,0.3040533308985892,-4.835587493211896,8.530164822379971,558.6799365685752,10.0,2070.0
3.0,-3.5313054842563716,7.4017335038490835,3.069420055118417,508.5636205126397,4.0,2070.0
6.0,5.760227345272115,6.156465045954242,4.00187927952247,508.5636205126397,4.0,2070.0
5.0,1.251550244761741,2.8632547495712086,-6.237191714418437,511.6234029586943,4.0,2070.0
2.0,-5.986456266756304,-3.1590772973240817,-5.418523754809263,511.6234029586943,4.0,2070.0
0.0,4.96640149080648,-2.550922439882799,0.5113948460016778,504.96613965729165,4.0,2070.0
5.0,1.2109666600756976,2.9407830322063817,-6.14948281765333,513.2010236080026,10.0,2100.0
6.0,5.791456160068919,6.150256706241832,3.9701417495967926,510.54443198081947,4.0,2100.0
2.0,-5.985719089894276,-3.158455495343692,-5.418600937879437,513.2010236080026,4.0,2100.0
0.0,5.020530243904371,-2.573462159207278,0.47519714745481606,507.4224078562057,4.0,2100.0
3.0,-3.539848179255393,7.370260584156964,2.986351523645741,523.8489815317542,12.0,2100.0
4.0,0.26708486582692714,-4.853516599098459,8.593536868630267,601.8594142723666,10.0,2100.0
5.0,1.1545716153485615,3.10982874511222,-6.001015742141227,539.7407080118792,10.0,2130.0
6.0,5.8589754585735605,6.130605055823783,3.9207005359089955,512.2635025231643,4.0,2130.0
2.0,-6.013846795758915,-3.1827723219886193,-5.416048578143231,522.7635990259612,10.0,2130.0
0.0,5.097664870095503,-2.6203357327132033,0.461898724633014,509.5541957944619,4.0,2130.0
4.0,0.22565052943725228,-4.873054914643226,8.663832062741236,646.4486686240218,10.0,2130.0
3.0,-3.5585450169697066,7.311595237364773,2.827776530796054,558.3773443209668,12.0,2130.0
4.0,0.1813686646813453,-4.893008938060474,8.737666945138256,689.9211766654801,10.0,2160.0
3.0,-3.544935417264799,7.18582953071267,2.4991540687227203,599.801620902185,12.0,2160.0
6.0,5.952755588292145,6.0948264430862675,3.8200365367113647,513.7554408663784,4.0,2160.0
5.0,1.0541752752846634,3.42581553829402,-5.652569570164718,577.3038224329287,10.0,2160.0
0.0,5.194720602923533,-2.7008229608161205,0.46524799376299675,511.4042921701023,4.0,2160.0
2.0,-6.073614053190643,-3.2367735442606436,-5.412392440375785,554.5483243241042,10.0,2160.0
6.0,5.965099866052215,6.056262134006021,3.6103398195118404,515.0503075442025,4.0,2190.0
5.0,1.175503947732843,3.6045140416534633,-5.536894632703838,619.6813904483762,10.0,2190.0
4.0,0.13808191069224052,-4.911276755230235,8.808363497532604,730.8476778275257,10.0,2190.0
3.0,-3.7032998644050417,7.217450971320246,2.5167238071202473,643.4568064774074,12.0,2190.0
0.0,5.297333509109275,-2.821673554004381,0.4701263712942138,513.0099131489376,4.0,2190.0
2.0,-6.1082487084552985,-3.269410768789392,-5.411515328960259,594.5361924694569,10.0,2190.0
6.0,5.896120445166101,6.016636853566254,3.277229876620656,516.1741982701291,4.0,2220.0
5.0,1.3864217106320007,3.7473058132537953,-5.42907834997839,663.030134886874,10.0,2220.0
3.0,-3.9175015541774427,7.300088098896032,2.6593767941810262,686.5160412124874,12.0,2220.0
4.0,0.09528615307067337,-4.927753520723767,8.876758020057498,768.5033537172665,10.0,2220.0
2.0,-6.104026892073361,-3.265452346286454,-5.411471162981801,637.5823038201462,12.0,2220.0
0.0,5.408170798108269,-2.9949588297501326,0.48432835589580947,514.4033985497613,4.0,2220.0
5.0,1.487812884379838,3.829373537771641,-5.507759174634195,705.0591268526471,12.0,2250.0
6.0,5.909260046586778,6.00453037876771,3.2000211608554636,517.1497579745836,4.0,2250.0
2.0,-6.136893831590765,-3.2950869324242142,-5.410171576239075,680.5428419760854,12.0,2250.0
0.0,5.485567701691115,-3.072560977218314,0.4864657647948963,515.6128318608935,4.0,2250.0
4.0,0.05968801133346784,-4.940291135462146,8.932548806893555,802.6071527029455,12.0,2250.0
3.0,-4.040964151674208,7.349901197521075,2.7560385521241724,727.3516092667741,12.0,2250.0
4.0,0.03388707446117663,-4.949098751751731,8.972552308689087,833.1498569452767,12.0,2280.0
3.0,-4.103141198880091,7.373032560916157,2.811644853949048,765.1085348063823,12.0,2280.0
6.0,5.941969199757863,5.994139129834869,3.2219343759573285,517.9966317729627,4.0,2280.0
5.0,1.564325761531117,3.8956284920709825,-5.624235323494572,744.4858816687918,12.0,2280.0
0.0,5.5314093909733035,-3.0840876889067173,0.48013086754725876,516.6625885107532,4.0,2280.0
