456: 321,104,286,232,480,103,661,625,273,758,442,481
457: 33,720,451
458: 706,77,354,253,248,445,491,523,726,593,307,597,627,105
459: 53,556,62,86,52,213,425,673
460: 62,184,52,213,465
461: 48,67,167,468,193,26,197,583,611,722
462: 392,157,339,731
463: 110,267,507,222,115,266,260,87,309,645,569,315,593,708
464: 189,194,195,45,100,43,443,494,752,654
465: 460,184,52,410,218,185,245,698
466: 224,268,270,640,700,690
467: 674,236,751,73,94,63,654,760
468: 48,167,171,193,197,461,549
469: 166,171,192,204,197,675,567,591,487,42,191,47
470: 140,114,139,340,418,634,420,397,411,359
471: 101,332,22,145,370,151,435,709,414,377
472: 130,379,526,25,739,147,633,32,738
473: 101,332,142,145,146,366,484,759,562
474: 291,327,131,326,18,286,590,5,737,0
475: 180,12,252,176,14,718,206,293,567,170,135,424,70
476: 181,410,252,408,618,176,41,170
477: 141,361,139,308,113,386,418,486,745,756
478: 266,446,543,676,713,16,210,85,547,116,57,531
479: 585,434,240,233,280,26,442,285,279,612,626
480: 121,328,321,104,286,456,527,661,737
481: 227,233,442,612,272,456,273,758
482: 287,240,234,292,280,442,279,598,104,527,607,661
483: 287,21,292,511,517,432,296
484: 101,145,365,366,370,606,406,473,534,709
485: 42,231,165,190,191,733,166
486: 361,139,742,340,418,477,540,745,360,314
487: 192,293,97,567,566,591,469,42,205,47,587,602,616
488: 274,322,90,419,275,73,63,592
489: 374,33,437,37
490: 102,318,324,330,323,337,284,697,325,492,496,655,276,624
491: 77,262,87,445,458,309,593,452,627
492: 117,102,31,330,323,337,500,490,719,624,95,128
493: 251,220,402,698,556,184,15,650
494: 195,223,229,94,735,443,464,637,654
495: 64,223,270,441,228
496: 102,318,373,324,362,284,325,541,670,490,516,534,631
497: 41,675,175,170,570,408
498: 399,363,362,334,516
499: 44,76,199,71,54,683,694,579,177,706,253,299,528,726
500: 117,102,274,122,323,421,492,638,696,290,128
501: 17,214,49,207,704
502: 369,120,121,321,504,573,608,619,746
503: 306,444,552,259,263,264,403,514,613
504: 369,120,144,277,502,608
505: 155,739,332,435,378,633,414
506: 390,302,342,136,404,519,335,383
507: 110,53,222,115,56,266,265,109,260,463,666,645,557,648,676,85
508: 287,21,199,59,706,248,432,296,429,765,105
509: 44,48,434,241,193,200,239,285,683,629
510: 117,151,435,692,156,716,385,38,329
511: 21,483,517,72,432
512: 398,395,657,520,723
513: 166,604,192,24,8,97,450,19,611,225,722,231,707,733
514: 552,83,251,259,80,264,212,403,503,574,672,757
515: 660,179,201,209,203,50,196,581,762
516: 363,373,362,334,541,670,496,498,631,283,561,622
517: 287,21,241,234,292,239,483,511,770
518: 55,433,250,243,684,643,652,682,687,677,237,68,69
519: 390,389,159,536,404,154,506,559,545,335,376,383,728,341
520: 398,162,395,124,355,349,657,512
521: 378,539,562
522: 79,256,263,600,755
523: 706,301,458,726,81,76,59,307,347,294,348,105,641
524: 51,179,178,407,767
525: 371,281,122,419,582,766,99,760,336
