591: 206,171,247,192,197,97,567,469,753,487
592: 275,73,488,228
593: 110,354,87,458,491,463,309,645,726,708,81,627,730
594: 289,28,123,405,577,132,565,304,282,108,664,682
595: 338,317,318,90,323,284,560,693,269,441
596: 76,238,580,301,605,641,198,18,1,331,348
597: 615,307,255,665,246,452,627,77,248,458,105,303
598: 234,280,442,482,104,607
599: 304,55,282,208,736,257,74,600,643,658,664,682,687
600: 304,208,249,736,256,257,263,74,311,599,522
601: 385,632,353,38,345,130,35,620,129,27,681,329
602: 205,20,174,68,426,588,587,616,487,293,566,237
603: 42,231,165,168,190,43,65,174,412,616,727
604: 585,513,226,227,8,93,19,546,611,225,691
605: 446,641,198,713,555,238,596,23,134,331
606: 145,127,365,366,370,406,484,621,630
607: 126,104,527,234,292,482,598
608: 369,368,364,120,321,283,277,504,502,686,573,625
609: 169,635,407,743,51,178
610: 39,158,453,82,113,346,647,386,656,679,756
611: 585,604,513,193,26,197,461,8,97,546,722
612: 585,227,233,442,279,479,481,691,758,103
613: 306,444,6,84,264,112,403,503,574,688,423,352
614: 550,535,680,738,25,7
615: 255,302,342,597,665,246,452,303
616: 42,231,65,174,426,530,587,602,603,487
617: 376,383,98,328,409,422,544,653
618: 181,182,49,476,715,176,554
619: 121,502,544
620: 35,28,123,537,702,601,129,27,108,60
621: 127,322,365,90,284,606,421,406,630
622: 143,283,300,152,561,686,571,373,334,670,516
623: 453,331,346,380,545,578,348,4,153
624: 330,323,697,490,492,276,95,230,533,89,128
625: 320,368,364,120,272,232,456,564,608
626: 241,240,200,280,285,479,509
627: 307,255,356,597,628,452,310,730,77,458,491,309,593
628: 162,307,255,356,347,82,559,627,667,679,730,756
629: 44,172,239,207,704,509,579
630: 127,322,606,621
631: 10,318,325,541,496,516,553,572,118,320,561
632: 345,130,601,133,681,39,647,380,656
633: 101,332,372,147,435,378,562,32,472,505,739
634: 140,113,647,386,418,470,161,589,345,420,397
635: 13,46,173,563,609,717,743,202,178
636: 194,242,236,751,100,9,734,752,448,258
637: 533,94,89,269,128,735,443,654,693
638: 117,22,371,122,36,151,532,500,582,696,343,716
639: 391,357,305,551,663,646
640: 64,186,224,268,270,269,455,466,700,560
641: 446,301,605,523,198,81,596,347,331,346,57,348
642: 201,209,438
