221: 251,222,184,265,15,84
222: 251,261,115,266,265,15,221
223: 64,228,229,269
224: 64,186,225,268,270
225: 19,186,224,268,65,187,231,24
226: 231,92,193,204,278,66,18,91,97,8,93
227: 233,26,273,272
228: 63,223,73,275,94,89,269,102,274,90
229: 186,189,190,195,223,275,43,65,89
230: 19,284,20,92,278,18,91,97,330,291,23
231: 188,204,226,233,24,18,91,97,8,93,19,225,65,187
232: 320,368,143,103,367,5,18,91,325
233: 231,227,24,26,93
234: 287,241,240,280,285
235: 194,242,78,201
236: 68,95,189,290,100,237,69,3,258,244,74,282
237: 68,236,69,75,244,74,245,1,13,2,134,108,28
238: 70,169,205,174,3,56,75,210,245,1,13
239: 287,21,72,241,240,200,54,207
240: 287,21,241,193,200,234,239,26
241: 240,200,234,239,285
242: 235,290,100,288,78,258,282,99,289
243: 55,60,78,202,258,208,203,244,257,50,74,282
244: 55,60,75,258,203,74,243,245,282,1,13,68,236,237,69,3,108,28
245: 56,75,210,244,74,1,13,70,238,237,69,198,180,2
246: 71,76,14,59,27,301,299,109,29,348
247: 44,47,92,198,192,204,278,71,293,197,97,8,205
248: 17,81,253,219,214,77,72,54
249: 78,208,256,297
250: 85,55,16,257,135,312,35,331,31,123,57
251: 222,58,261,266,184,265,15,212,260,218,221,85,61,217
252: 56,51,179,210,211,170,293,41,180,176,185
253: 59,17,254,81,82,219,214,206,248,11,54
254: 59,110,17,81,82,253,219,87,77,11,354,303,309
255: 342,356,303,309,77,310
256: 304,79,249,257,263,311
257: 304,55,60,250,256,263,264,243,112,312
258: 78,202,201,244,50,74,243,282,68,194,236,290,100,242,3
259: 216
260: 110,267,53,251,58,261,115,266,219,15,212,218,87,11
261: 251,222,62,86,15,260,218
262: 267,219,77
263: 79,256,257,264,311,112
264: 85,6,84,16,80,257,263,112
265: 251,222,266,313,15,221,85,6,84,16
266: 110,135,251,222,58,115,265,15,212,260,87,85,16,116
267: 115,262,219,260,87
268: 224,225,270,271,10
269: 64,223,228,275,89,270,276,317,90
270: 64,224,268,269,10,317
271: 93,268,10,320,88,272
272: 320,120,273,227,271,93
273: 120,321,104,286,272,227,280,279
274: 102,322,90,63,228,73
275: 95,189,228,229,284,20,94,89,269,276,102
276: 19,284,20,275,89,269,10,317,330
277: 369,364,144,283,363
278: 92,247,71,226,66,18,91,97,230,291,103,5,23
279: 66,280,120,103,273,104,5,286,0,4,292
280: 234,26,279,273,104
281: 22,371,122,34,99,289,63,288,336
282: 60,258,244,74,243,68,236,242,99,289,132,108,28,329
283: 320,369,368,364,363,333,277,373,325,362
284: 19,95,189,230,20,275,65,89,276,330
285: 241,234
286: 335,120,121,327,98,328,326,321,273,104,279
287: 21,240,234,239,296,98,104
288: 242,281,99,289,336,297
289: 371,281,122,99,242,288,282,132,336,343,297,329
290: 68,189,194,45,236,100,94,242,3,258
291: 143,103,367,5,23,230,92,278
292: 335,103,98,326,105,5,0,4,348,21,66,279
293: 44,47,198,171,247,192,197,205,170,252,176,12
294: 307,124,390,389,302,349,153,113,131,341,348
295: 302,342,303,296,126,105
296: 287,126,98,105,295
297: 350,132,336,343,106,298,288,304,249,99,289
298: 384,350,336,343,106,297
299: 110,27,135,301,109,2,29,246,76,14,307,354,113,57
300: 374,163,148,381,333,152,373,372,119,150,96
301: 110,180,27,135,58,12,299,109,2,29,212,11,246,198,76,14
302: 390,342,349,303,295,294,383,335,126,105
303: 255,302,342,349,295,309,59,254,82,77
304: 60,256,257,311,312,351,350,132,111,305,297
305: 357,351,350,137,111,304,311
306: 311,112,352
307: 124,354,153,113,346,294,129,27,299,348
308: 116,355,141,361,354,140,315,139,346,309,87
309: 255,355,356,141,349,361,354,303,308,254,82,87,77,310
310: 87,77,255,356,361,309
311: 306,304,256,263,112,351,352,111,305
312: 36,344,351,353,130,107,331,31,123,304,60,250,257
313: 314,265,6,30,316
314: 115,313,116,360,315,340,316
315: 360,361,308,314,115,87
316: 360,340,314,313,30
317: 10,118,128,338,318,90,270,269,276
318: 10,325,118,142,128,338,317,324,362,365
319: 118
320: 368,364,120,283,232,272,271,10,325,118
321: 120,273,286
322: 101,102,128,338,274,127,365,90
323: 101,117,102,128,338,324,134,122,330,337,95
