time(min)	-1,-1,-1	-1,-1,0	-1,-1,1	0,-1,-1	0,-1,0	0,-1,1	1,-1,-1	1,-1,0	1,-1,1	-1,0,-1	-1,0,0	-1,0,1	0,0,-1	0,0,0	0,0,1	1,0,-1	1,0,0	1,0,1	-1,1,-1	-1,1,0	-1,1,1	0,1,-1	0,1,0	0,1,1	1,1,-1	1,1,0	1,1,1
0.666667	9.99984	9.99967	9.99984	9.99967	9.99935	9.99968	9.99984	9.99968	9.99984	9.99967	9.99935	9.99968	9.99935	9.99664	9.99935	9.99968	9.99935	9.99967	9.99984	9.99968	9.99984	9.99968	9.99935	9.99967	9.99984	9.99967	9.99984
0.683333	9.99987	9.99974	9.99987	9.99974	9.99948	9.99974	9.99987	9.99974	9.99987	9.99974	9.99948	9.99974	9.99948	9.99691	9.99948	9.99974	9.99948	9.99974	9.99987	9.99974	9.99987	9.99974	9.99948	9.99974	9.99987	9.99974	9.99987
0.7	9.9999	9.9998	9.9999	9.9998	9.99959	9.9998	9.9999	9.9998	9.9999	9.9998	9.99959	9.9998	9.99959	9.99713	9.99959	9.9998	9.99959	9.9998	9.9999	9.9998	9.9999	9.9998	9.99959	9.9998	9.9999	9.9998	9.9999
0.716667	9.99992	9.99984	9.99992	9.99984	9.99968	9.99984	9.99992	9.99984	9.99992	9.99984	9.99968	9.99984	9.99968	9.9973	9.99968	9.99984	9.99968	9.99984	9.99992	9.99984	9.99992	9.99984	9.99968	9.99984	9.99992	9.99984	9.99992
0.733333	9.99994	9.99987	9.99994	9.99987	9.99974	9.99987	9.99994	9.99987	9.99994	9.99987	9.99974	9.99987	9.99974	9.99743	9.99974	9.99987	9.99974	9.99987	9.99994	9.99987	9.99994	9.99987	9.99974	9.99987	9.99994	9.99987	9.99994
0.75	9.99995	9.9999	9.99995	9.9999	9.99979	9.9999	9.99995	9.9999	9.99995	9.9999	9.99979	9.9999	9.99979	9.99754	9.99979	9.9999	9.99979	9.9999	9.99995	9.9999	9.99995	9.9999	9.99979	9.9999	9.99995	9.9999	9.99995
0.766667	9.99996	9.99992	9.99996	9.99992	9.99983	9.99992	9.99996	9.99992	9.99996	9.99992	9.99983	9.99992	9.99983	9.99762	9.99983	9.99992	9.99983	9.99992	9.99996	9.99992	9.99996	9.99992	9.99983	9.99992	9.99996	9.99992	9.99996
0.783333	9.99997	9.99994	9.99997	9.99994	9.99987	9.99994	9.99997	9.99994	9.99997	9.99994	9.99987	9.99994	9.99987	9.99768	9.99987	9.99994	9.99987	9.99994	9.99997	9.99994	9.99997	9.99994	9.99987	9.99994	9.99997	9.99994	9.99997
0.8	9.99997	9.99995	9.99997	9.99995	9.99989	9.99995	9.99997	9.99995	9.99997	9.99995	9.99989	9.99995	9.99989	9.99773	9.99989	9.99995	9.99989	9.99995	9.99997	9.99995	9.99997	9.99995	9.99989	9.99995	9.99997	9.99995	9.99997
0.816667	9.99998	9.99996	9.99998	9.99996	9.99991	9.99996	9.99998	9.99996	9.99998	9.99996	9.99991	9.99996	9.99991	9.99777	9.99991	9.99996	9.99991	9.99996	9.99998	9.99996	9.99998	9.99996	9.99991	9.99996	9.99998	9.99996	9.99998
0.833333	9.99998	9.99997	9.99998	9.99997	9.99993	9.99997	9.99998	9.99997	9.99998	9.99997	9.99993	9.99997	9.99993	9.9978	9.99993	9.99997	9.99993	9.99997	9.99998	9.99997	9.99998	9.99997	9.99993	9.99997	9.99998	9.99997	9.99998
0.85	9.99999	9.99997	9.99999	9.99997	9.99994	9.99997	9.99999	9.99997	9.99999	9.99997	9.99994	9.99997	9.99994	9.99783	9.99994	9.99997	9.99994	9.99997	9.99999	9.99997	9.99999	9.99997	9.99994	9.99997	9.99999	9.99997	9.99999
0.866667	9.99999	9.99998	9.99999	9.99998	9.99995	9.99998	9.99999	9.99998	9.99999	9.99998	9.99995	9.99998	9.99995	9.99785	9.99995	9.99998	9.99995	9.99998	9.99999	9.99998	9.99999	9.99998	9.99995	9.99998	9.99999	9.99998	9.99999
0.883333	9.99999	9.99998	9.99999	9.99998	9.99996	9.99998	9.99999	9.99998	9.99999	9.99998	9.99996	9.99998	9.99996	9.99786	9.99996	9.99998	9.99996	9.99998	9.99999	9.99998	9.99999	9.99998	9.99996	9.99998	9.99999	9.99998	9.99999
0.9	9.99999	9.99998	9.99999	9.99998	9.99996	9.99998	9.99999	9.99998	9.99999	9.99998	9.99996	9.99998	9.99996	9.99787	9.99996	9.99998	9.99996	9.99998	9.99999	9.99998	9.99999	9.99998	9.99996	9.99998	9.99999	9.99998	9.99999
0.916667	9.99999	9.99999	9.99999	9.99999	9.99997	9.99999	9.99999	9.99999	9.99999	9.99999	9.99997	9.99999	9.99997	9.99788	9.99997	9.99999	9.99997	9.99999	9.99999	9.99999	9.99999	9.99999	9.99997	9.99999	9.99999	9.99999	9.99999
0.933333	9.99999	9.99999	9.99999	9.99999	9.99997	9.99999	9.99999	9.99999	9.99999	9.99999	9.99997	9.99999	9.99997	9.99789	9.99997	9.99999	9.99997	9.99999	9.99999	9.99999	9.99999	9.99999	9.99997	9.99999	9.99999	9.99999	9.99999
0.95	9.99999	9.99999	10	9.99999	9.99997	9.99999	10	9.99999	10	9.99999	9.99997	9.99999	9.99997	9.9979	9.99997	9.99999	9.99997	9.99999	10	9.99999	10	9.99999	9.99997	9.99999	10	9.99999	9.99999
0.966667	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	9.99998	9.9979	9.99998	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10
0.983333	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	9.99998	9.9979	9.99998	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10
1	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	9.99998	9.99791	9.99998	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10
1.01667	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	9.99998	9.99791	9.99998	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10
1.03333	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	9.99998	9.99791	9.99998	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10
1.05	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	9.99998	9.99791	9.99998	9.99999	9.99998	9.99999	10	9.99999	10	9.99999	9.99998	9.99999	10	9.99999	10
