time(min)	-1,-1,-1	-1,-1,0	-1,-1,1	0,-1,-1	0,-1,0	0,-1,1	1,-1,-1	1,-1,0	1,-1,1	-1,0,-1	-1,0,0	-1,0,1	0,0,-1	0,0,0	0,0,1	1,0,-1	1,0,0	1,0,1	-1,1,-1	-1,1,0	-1,1,1	0,1,-1	0,1,0	0,1,1	1,1,-1	1,1,0	1,1,1
7.9	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
8	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
8.1	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
8.2	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
8.3	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
8.4	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
8.5	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
8.6	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
8.7	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
8.8	9.99754	9.99417	9.99762	9.99417	9.98313	9.99412	9.99762	9.99412	9.99751	9.99439	9.98423	9.9944	9.98423	9.32414	9.98297	9.9944	9.98297	9.99378	9.99777	9.9946	9.99769	9.9946	9.98413	9.9941	9.99769	9.9941	9.99741
